txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type
1e533bb0ef647647a36b39d2bdf55ffaaef2517e9c04ed6ed7fd8240b54e8738,"[""3rgAgALTxfR2ytAm1MU1sU32gHEWkm6oLV""]","[""1V1Mq38snWxZxi9jSvH2wFgPQutvbBSso9""]",[3.75235847],[3.7473511],0.00500737,P2SH
5bb50c15d57481d6fed81690375061ffd7535f95934808142d2bd6f69cca9d3a,"[""1y6fGpv4zDroMqrBbohv2hwZZBztVJV6ED"", ""3C2AH5qJQVf6YBtNSGTEG4kf5LYybZqpRY"", ""bc1q02ne29empykyrstzk4j22lhd502k3unt46vhf9q""]","[""3BeDCqjoNG4592zs7v89GB5quD6oQVdDRt"", ""3C2AH5qJQVf6YBtNSGTEG4kf5LYybZqpRY""]","[0.39789803, 0.39789803, 0.39789803]","[0.59559441, 0.59559441]",0.00250528,P2TR
0a519308048e0b7e8797227e5d3a62a1789ebfd76c495f97bf243c5d2898a09b,"[""18q2frKUyYGSyhBbddZXeJMYoSNGJ1prLU"", ""bc1qvaz225knvuc7hsw9my8ghhxvra0pcslrnzav8hw"", ""1gVkJmoboYBtSFieqD5dWochGeXGB487TT""]","[""3wAmxmkMidN4PRFUvMh2f9cw9FafA76iPh"", ""bc1q4xv7a9hh3r0ftp4l8dqejv8ljkkyc8042lcpty3""]","[1.16124749, 1.16124749, 1.16124749]","[1.73975144, 1.73975144]",0.00423959,P2PKH
cf8a7673a65ae1163ab82b1f023c5db3907bfc63f566fe0678ff9b8bc8649b83,"[""1kwruxrz2vhb5xDp5CaA8ZwmGfwpUgwUNZ""]","[""3Yh9Bo8fTfxxuKGe8uKoiZ26CXtDMqXAxH""]",[0.54771288],[0.93474531],0.0001,P2PKH
5ebf7a95e4d8788176bf2d1226d6223ba8d5f9b345b9b7658135d9da10d34330,"[""1Eq7we9wHhRUUT9Cbk85mrLnG1jqafsSVL""]","[""bc1qxt97aan0rtle88jzh6l3y479sn7ackkv4tuw8zq"", ""3DzW637dnR4PzXyr1igYGe7STxsGWBusJe""]",[2.017082],"[1.00551371, 1.00551371]",0.00605458,P2TR
70e9550ad1bebfdf319a4328876d882fe3617642295f90fb6c229629bb573cc6,"[""1Eq7we9wHhRUUT9Cbk85mrLnG1jqafsSVL""]","[""19tXF72WPvJVBErGcSf8929kEWhCUH6bNG"", ""1Eq7we9wHhRUUT9Cbk85mrLnG1jqafsSVL""]",[1.93243678],"[0.96433732, 0.96433732]",0.00376214,P2WPKH
02741749f7605d395f420a9c8fed1a8e68bcb97a6b89ccc468938589680cce53,"[""1TvG2fyHvLN5ZE58118s8iAUegLMowywSw""]","[""3jWd6ZBtKjLUbNiT8VQGHwJ4cUYDVBZ8cC""]",[0.6419905],[0.15711884],0.0001,P2PKH
cfca57daa75e812205fa872e842c9a4f580489a467dba778494dcdcff527f60a,"[""bc1qj7rrcemuug5j09vn4vvukp0gt2ef6m4l8fhc2hn""]","[""3NZeLoy6AsVF9cUiZEmFKL9KZQ1hkoYKeK"", ""bc1q03hhadzyqsrxmru05symdqrlhug2uj9f4e7tn0x""]",[0.60858683],"[0.30339061, 0.30339061]",0.00180561,P2WSH
ef522bb0f1bdd2abf415dbe2564f77856a085726c0ef1ae5463154afae343e0f,"[""bc1qqmyyg94qqe829phsh0csrs7pemsw7p0v40azznz""]","[""3DpCLk3df8tTbWx1jZSavnuhBp7fcKtRch""]",[2.65085133],[2.64050253],0.0103488,P2WSH
f36b5bde057d92189479fd08e3941a13c3b7514c19b66ee16551232476f1d530,"[""1xn5iueTyG3psrMgR7rt19eLtxGjNL7QTq"", ""1nxdtZeTLppqLmbiNT6f1MdoYN7uVpkQFC"", ""bc1qme5erkp79dje49vtq46lyardpg2k4cjjl42skr4""]","[""38ZJ5ZdYNsS9SKwiURRQ2ZxRkcJFW8YZJk"", ""38fTmXq5Gz7bpZhs8aWihWZy8te9diwodC""]","[0.71420427, 0.71420427, 0.71420427]","[1.06854055, 1.06854055]",0.00553172,P2WPKH
a38985d56bc5a65cad6fb84272df8a54645942554625803d2d0476558d94efa3,"[""3xHKfzJzWk3ZvqZVdEW8NP1omFDf2aHKcc""]","[""31knouTJpTD27oMuGUw9LybnTGDrwGcavX""]",[0.01181788],[0.47185841],0.0001,P2PKH
0f3b1252f98df5a8a341b5f8879e3fa11353bae68e7e45e4be59665d8459766b,"[""bc1qnnckm4fsshfpu70r0nsllaymjt4c7cqzgppes5s""]","[""3daiPbJWRn7esYsRtRpQjKKFxgU65SkN84"", ""3RQeY955vyAKbmeeJSxEFv7c4ffB181VMW""]",[1.95522773],"[0.97367146, 0.97367146]",0.00788481,P2SH
e4b6cd6dc2938e6427e52136dc0e6c85499bce6dccbf6d4ee76407fdea7bb5c3,"[""bc1qdqxgkeje3txr4072vvrtw94eaj428rtyvnjd03a""]","[""bc1q4xv7a9hh3r0ftp4l8dqejv8ljkkyc8042lcpty3"", ""1gVkJmoboYBtSFieqD5dWochGeXGB487TT"", ""bc1qdqxgkeje3txr4072vvrtw94eaj428rtyvnjd03a""]",[1.53541885],"[0.5094378, 0.5094378, 0.5094378]",0.00710546,P2SH
c88e96f1f76d6cba075a5ab813f040d1fe8e1f3807c144cc76e6a954ea36115a,"[""1eshRCdwKDfQLkFaQ6j9ZbEctYfRMEw5Pn""]","[""19SbdrPDykYFVZoVL5ztv96nf2PMhPBSnD""]",[0.04463385],[0.0445994],3.445e-05,P2WPKH
49a780ef003cd02aa6e4ef41dff001a7b3875b3c8bb35b3fe909672f16891aac,"[""bc1qk6hknw20duukn9820j4n36vd0hrtxg4rqgmjl2e""]","[""38jnq5Zh9xqYgRphaWzyfZCef46fAmUo2w""]",[0.64117239],[0.42965976],0.0001,P2PKH
048c5f2ff112942f4c6a136effd6420aac64e1a5347841d12af4d4867a0b0d71,"[""1Cpe6bSxRJ6nHV5P825fFFG46BADPCWsPH""]","[""1QgSGpEi4YmHYwB1yWVugDYeRosLy98VGf""]",[0.17769796],[0.35481046],0.0001,P2PKH
6d0c0b242fd679d87a4a93beb58da029bcbf49394ab619c6a065b4b3345aaac3,"[""bc1q55alxk9vdgzt7rkdaw4rkxmef0ymnlf4ddyfgna""]","[""bc1q8wepqgr2u9z7l2lukd5ndp2ld3a34frv30pqz65"", ""3C2AH5qJQVf6YBtNSGTEG4kf5LYybZqpRY"", ""bc1q55alxk9vdgzt7rkdaw4rkxmef0ymnlf4ddyfgna""]",[0.14939055],"[0.04976247, 0.04976247, 0.04976247]",0.00010314,P2PKH
a6db93bb15f6e0740ab0a90485bfea8b230d32791752afc2bd68cd3ce1e2ab5b,"[""bc1qzy50eym3lezr2a9gtz9cg0gu5yrjpmvmaytm7t4""]","[""1rxMoTuenPwnWGfJuug1u22nqXjKAaRZPc"", ""1Wm2oUs3Ag5dxEDg9izWzcXmS8Hdw3igEz""]",[0.08528384],"[0.04256177, 0.04256177]",0.0001603,P2WSH
238c9dc05f54fb3d47af250bf25ce5fc80db6b134ec07add3528f6448f108db4,"[""bc1qr6prwrgkx4qdrsnkdusnfe0nc6ltd93ak08qzrj"", ""3ufWrqsB68GomBgL6MkJnLGJrUsaw5tWsP""]","[""1V1Mq38snWxZxi9jSvH2wFgPQutvbBSso9"", ""3Qs9zLztz9sB5LzK4TDmaAnn8SRRU1Xjxt""]","[1.61823447, 1.61823447]","[1.61508384, 1.61508384]",0.00630125,P2WSH
2c6eb2a560a8d21ab57fd401170d725539f787464f1ed410fbeffbbe2ec3ef92,"[""38fTmXq5Gz7bpZhs8aWihWZy8te9diwodC"", ""38ZJ5ZdYNsS9SKwiURRQ2ZxRkcJFW8YZJk""]","[""bc1qk9346qrrw8fxqz74675krmy4uj7ukgwa5agduc2"", ""38Hr17Bb9SoGhVorL59w9VzmESdDjMek7A""]","[1.21392673, 1.21392673]","[1.2100746, 1.2100746]",0.00770427,P2WSH
98407c31150e15886b54ddef9fbd11dcd7951b10d195b84b18754cd65cf7c91c,"[""bc1qhtr8znnnl25ew83v9jvcf8zgveyvtz7wcrzd3sr""]","[""1XGy1pgou769CXpGQNQZzEgrerm6NZ41AV"", ""3eLyytvEuhZGvgHYfBr1D9ppvJZZrgYPjn"", ""bc1qhtr8znnnl25ew83v9jvcf8zgveyvtz7wcrzd3sr""]",[1.27306894],"[0.42295644, 0.42295644, 0.42295644]",0.00419963,P2WPKH
6b60d739313259a84f5f264ebaf851363a2c966f6799cd21f28e5bdded0a9ca9,"[""1EqD1SX7sAmUvNLt4vHqUGNhJEMBSJogxX""]","[""3Fp8gGsTkWy1GhAi5ZGmZtfFmxZmsjj78Q""]",[0.19896909],[0.77866847],0.0001,P2PKH
9400e2d703313a1e5a64c83e6dce9055d900a195ebafd7e3bcd3f1635280b29b,"[""3G5CnaAAUQYxDJG7Agph3qL6FMWgGz2QTk"", ""166o84nDCQgw5av5zCeo6ro8w3vSjVPRMu""]","[""bc1q2dyvc0mfkea373y8x5amzhxg4nmxch30m27qa7r"", ""3vhhQEKHUeJMtUoimKCK3sj1ZaiJCEaFYw"", ""166o84nDCQgw5av5zCeo6ro8w3vSjVPRMu""]","[1.57592799, 1.57592799]","[1.04647564, 1.04647564, 1.04647564]",0.01242905,P2WPKH
79acdd037e17e15e54415b15e57dae06e75d6322d03a33bc99a6a105a7ed2456,"[""bc1qdzdjlm6y5gqjvy4ur0x4cxt584kj85ss77wjyad""]","[""bc1qtq4amyd2290pj30y30ythyqzktpu96w45d4pv0f""]",[0.86223195],[0.43747437],0.0001,P2PKH
334d9083c404e2220cae0a2db36fedecf193543d5cc6e7c26010297cd0e4191f,"[""1R3Nwy3MgfMZsykvEAoBQBvnQfjFAhP3UC"", ""bc1qknl5q6f47yrr3gnkx5g0umzdgqc5gh3dqzuu36j""]","[""1LX7Ca6WoTWT4ToiPpka3L4zw5w2QmmyeR"", ""bc1qjgt84w94auck57t870wltkace6c4nesstar6ux3"", ""1b1i442LWHVYitaFUQ6fMQs4ee4jo7CY9B""]","[0.43263644, 0.43263644]","[0.28755381, 0.28755381, 0.28755381]",0.00261145,P2WPKH
1b9184cd2955e0498f6d9f4cda927958479de96ce5ec464d46a00c60ea73eb33,"[""1Rm72VSC2fbUu3J168bbCf29kHaMrncW4p""]","[""3wAmxmkMidN4PRFUvMh2f9cw9FafA76iPh"", ""169DBucqXXYk7T5pvUKNptbmLi2pDr9E88""]",[2.55899139],"[1.27841673, 1.27841673]",0.00215794,P2WSH
68cdb5c8b9a0c24f39ec6d46c52ec0c5a0239bce40007f7c49063ead7fc9c0f7,"[""1eshRCdwKDfQLkFaQ6j9ZbEctYfRMEw5Pn""]","[""1VqgKkcyGSJRApaiq2Q91Q8ZKXL7p4R8SR""]",[0.02569693],[0.02562512],7.181e-05,P2WPKH
a8bec81777064b9239b63adceedd14ade964d014458e01b7388f5e56d281b98c,"[""1JkuLQeWADqCBorrwzTYH46jVL8f6cuKTc""]","[""36MMMfFebu4JL2KTsZuGhbzNPao6gLWmLc"", ""1JkuLQeWADqCBorrwzTYH46jVL8f6cuKTc""]",[0.91915196],"[0.45920524, 0.45920524]",0.00074148,P2WSH
753838e1a7d9f2fd94b376dedb03f4664369c7c77774d69442f603100579e476,"[""1LZPFrxb95fvJff8i5ZeL8hwzu6fW2JxLm"", ""3THPXypo9FesZ6rrHmGu9SwDTM24WEzN2v""]","[""bc1q03hhadzyqsrxmru05symdqrlhug2uj9f4e7tn0x"", ""3NZeLoy6AsVF9cUiZEmFKL9KZQ1hkoYKeK""]","[1.99042836, 1.99042836]","[1.98534318, 1.98534318]",0.01017036,P2WSH
2942820799826c0ea26b164722dda58c93ab8cadb0de2f2fa511c308df9dbbdd,"[""bc1qcflwt6wlc8ejtk59yxxptg32kfgml4r7ealmym8""]","[""3E1AznMPaXj46HqvMxHcCvaGQ75Jwoxspa"", ""bc1qcflwt6wlc8ejtk59yxxptg32kfgml4r7ealmym8""]",[2.67425552],"[1.33592489, 1.33592489]",0.00240574,P2WPKH
008d836557348b0a0bea4707bf2a10184d7d03616eeed5cb8773d4bb26345dc2,"[""bc1qrlve27cxsspy20wns2n9lhf263kf6t4ljehkq07""]","[""bc1q0ldt6dl2awt39df445k7urz6zqarhn35se4mxc3"", ""bc1qf7lckk003ahfj3uvtcyp7za5hx6g3grh8pu88r2""]",[0.75596576],"[0.37722318, 0.37722318]",0.00151941,P2WPKH
3591274d47c6ee027b4facda1e8be55058120eedda5facc5bb6295f3a93d3e3c,"[""35zMoh7DzCvoFUrLak3gqFgbkNnWLRysgv""]","[""1kiLXxLfNLBCgwR2gvmr3Ura54FJzfp5bm""]",[0.25591346],[0.29986899],0.0001,P2PKH
4ea45e9ec3c772941e8aad42a269f7b58c78389d6e372f5adba40ba93bd7c087,"[""bc1q55alxk9vdgzt7rkdaw4rkxmef0ymnlf4ddyfgna""]","[""bc1qk9346qrrw8fxqz74675krmy4uj7ukgwa5agduc2"", ""3UUwvEgPGXSHoPKXx6XMqceGGoFaTgFfmX"", ""bc1q55alxk9vdgzt7rkdaw4rkxmef0ymnlf4ddyfgna""]",[2.17129373],"[0.72274871, 0.72274871, 0.72274871]",0.0030476,P2TR
305a137872779200be902716e8f7ad61a08e5fa7036f590816d07e0f7e77133a,"[""1idTezbXNCj8zDo3bccugXDDh2AbNagxon""]","[""1CkVdKJBeC7uygkZLzFNZXWU1GQSviXYyJ""]",[0.70970156],[0.82951768],0.0001,P2PKH
5b712e7a5baaf5d86b72ff22a3e448010f7ef8b4c9fffeeedb98478f3016d41b,"[""1YGCHqL2q7i3NxDxXpSobdxnz6hZRtx5ut""]","[""3yJBgoXcW4duoX9LWknd32H7n54Uxma7NX""]",[0.20699431],[0.78987407],0.0001,P2PKH
c055f37fd0facb83d5f2418fc10a6d25bd4085cc45bb9000d1e5feb50a3fe776,"[""bc1qgzdh32kc59w5qxfjr8kc5ynd7wmy9j2fztvv6jq""]","[""bc1qyst0n9ypyjs5tj3y0nfls4y863ptl5xzx0kwkmj"", ""3cRATn3D1DEdEjxLjCBzN527HCam32CBti"", ""3qjokwD7DGQs4Xh7YUFHn9UNJeu3jo4vfF""]",[3.19133841],"[1.06257888, 1.06257888, 1.06257888]",0.00360177,P2TR
0e05a300a762eb83de7c27fb28e0500392744eb8bc01b808ee060be74949e200,"[""bc1q2rt4cmh7ntjx48rmtcjeml6n5qa6g9kf2qmjvy5"", ""16XNTAKKwbtAk35SRcRDWM7gbXJDz4Cwmm"", ""3L1kBPhWqo5r32vsaaiR72Kocqv6qFbXPJ""]","[""bc1q55alxk9vdgzt7rkdaw4rkxmef0ymnlf4ddyfgna"", ""bc1q2rt4cmh7ntjx48rmtcjeml6n5qa6g9kf2qmjvy5""]","[1.2264212, 1.2264212, 1.2264212]","[1.83188737, 1.83188737]",0.01548887,P2WPKH
9e381540e34e6b471c24d6e2efcf0c574939c0d504264d742d59203a503465b9,"[""1YGCHqL2q7i3NxDxXpSobdxnz6hZRtx5ut""]","[""3AoK6snrT2WW1LKCY1CPcUSDcNmjyMorQR""]",[0.26350538],[0.80153385],0.0001,P2PKH
1f9822dfa62b39ef1ca916a64d1d1ab1f6ab45b1864749c0d548dec82720a356,"[""39TYP7htyunjievzbqwRV67Z3eYuf8feEg""]","[""1dzAzKwytAYS3SPK8vCzwfkVhuiuJyhtVs""]",[0.08428837],[0.45433311],0.0001,P2PKH
b6949d51190e8bdde18df76d6dd90a714a3ad5ecaa90f92ff1b26253bd49117b,"[""1EqD1SX7sAmUvNLt4vHqUGNhJEMBSJogxX""]","[""1uR4Bg9DXCGFqToe1TAW2FfzekqS6YEDC8""]",[0.78756341],[0.329252],0.0001,P2PKH
f3680855c3fbbac0e8da0fceca6e710ef28aa4be1378f1de2eb0173dc89e32a9,"[""18q2frKUyYGSyhBbddZXeJMYoSNGJ1prLU"", ""bc1qnxqp39rgkh8y02felwe267pcz0x666rc8cwhpwc""]","[""bc1qnrp7e7clenmr3s9rxthkc0myt6rxlcq60f9gkd5"", ""19kREoQQTroM291ow5KyA4mfeu4difXJQg"", ""bc1qvaz225knvuc7hsw9my8ghhxvra0pcslrnzav8hw""]","[0.3102254, 0.3102254]","[0.20591688, 0.20591688, 0.20591688]",0.00270015,P2TR
3a2166aeeea63396500dfc52b81d6ca0c38dc1e1b29380cbfc7b848ef39966a2,"[""bc1q4kvfyqrqlmx55d5exfw0q9yk70mjxj6pq5klmhn""]","[""139e3rfqJv3RBfchbnBTaw6JNN4RYH8hGX""]",[2.13372543],[2.123155],0.01057043,P2WPKH
fd2550a10b29ce825ee0c73c35add1a87a25ded6826bcef1c6403eabff7ea445,"[""3GW8kwTa1LEkaiwfqEJfpa9Nj7WCnT9RQ6""]","[""1XMxYnW2s3PNkM4Ef7ak8MLeqgyUB8iw3C"", ""18Hqh9hT15FqYjX7HJ3RoT7ub1WF9RcERf"", ""3GW8kwTa1LEkaiwfqEJfpa9Nj7WCnT9RQ6""]",[3.56339363],"[1.18574598, 1.18574598, 1.18574598]",0.0061557,P2PKH
1b9121395ee3f03368afb40a918aa78119d52e99b20b3602587ed5234262a77c,"[""1Cpe6bSxRJ6nHV5P825fFFG46BADPCWsPH""]","[""bc1qyntjpmyht8klwqg5x029a275t2rdxnwf9qe2afm""]",[0.49751032],[0.48195438],0.0001,P2PKH
83bd17cd7a59fd63a98907d2ee2c7f482bbedf606d55147c3f92e0aa22ada171,"[""bc1qs94anzvyqsa46n9unu3cz4u3q74ddmkd70ctea6"", ""3iUUDAq23aAd3a4FBxbZ2ifH5TzsAqbopB"", ""bc1q8e7rseen4pv5e60nzgtnhav5f7pc90qmasxeskn""]","[""1hv5YLjzCi3CYFsruytTiu4RwW2bh83Zoh"", ""bc1q603szws3vnxqjjqasshgmfgr83f57gympllxr55""]","[0.8160859, 0.8160859, 0.8160859]","[1.21805465, 1.21805465]",0.0121484,P2WSH
1df3b4389925d761f161e878508c584ba6bb0d562fb23b3dc8e815efb83f344b,"[""bc1qxpgu35yvujmysztq87l4cy9jjmyh7pc8g84seva"", ""1kah5v7nJ6mSPfUX8PoYx9gvojNxZZ81bY"", ""1JkuLQeWADqCBorrwzTYH46jVL8f6cuKTc""]","[""1x1frj7XEV4zi6vuXhNy568p5ZSxEGKohj""]","[1.0903087, 1.0903087, 1.0903087]",[3.2617509],0.00917521,P2SH
d0edc502749073659587574873c96a9009dae309c6597427aea505f44d82015d,"[""bc1q0ldt6dl2awt39df445k7urz6zqarhn35se4mxc3""]","[""3BvLrKV47UrHMaWQi7Z5JTbEFAU4DhSyZL""]",[3.4726521],[3.47130629],0.00134581,P2TR
184e614c04cbd3baad27c61e52347422701eb0fbc55280ef0d3fe98cf7a28588,"[""bc1q03hhadzyqsrxmru05symdqrlhug2uj9f4e7tn0x"", ""3NZeLoy6AsVF9cUiZEmFKL9KZQ1hkoYKeK""]","[""1MjyXbrU81WA8Nj4jyiFchBzoWGRwtpJrw"", ""3NxFGXgQL6un9oG6yDxn8Xsbo6MaHG63Kk"", ""bc1q03hhadzyqsrxmru05symdqrlhug2uj9f4e7tn0x""]","[1.27576581, 1.27576581]","[0.84632819, 0.84632819, 0.84632819]",0.01254704,P2WPKH
c4301bf144c47fc4ab8deb6776516daa3df89448787a9431e68c604dbce2740c,"[""1zhro6Gro6B2MVDr9hhDgDzQGBZ8EAPoxN""]","[""196GnTWbK4s11KFVS6ChoW4iYx5C564EUQ""]",[0.44466828],[0.44452358],0.0001447,P2WSH
ceca25e0d936d891dcc54ac74e1023f7f6f754a7e18482853ea8b308c6ffc426,"[""1Cpe6bSxRJ6nHV5P825fFFG46BADPCWsPH""]","[""1Lf7xT4ZjNaBz9PxTBxv4FujnLAo97av2i""]",[0.23319284],[0.39840697],0.0001,P2PKH
920f401fd35a18bcac7e216de40301964222dafac11ff217436a69693538cc00,"[""1x1frj7XEV4zi6vuXhNy568p5ZSxEGKohj""]","[""bc1qvaml8vmd20avle5y7y72rmraqymlzegnvz24375"", ""3ugASMbeRFrCPVEaazJyfGZgk3cVuHocMd""]",[0.43096485],"[0.2150763, 0.2150763]",0.00081224,P2WSH
23431169d3039b5109cde08407890787bb7f2a842fa3659dba1f8d1f3e6b6ddc,"[""3UUwvEgPGXSHoPKXx6XMqceGGoFaTgFfmX"", ""38Hr17Bb9SoGhVorL59w9VzmESdDjMek7A"", ""bc1qk9346qrrw8fxqz74675krmy4uj7ukgwa5agduc2""]","[""19tXF72WPvJVBErGcSf8929kEWhCUH6bNG""]","[0.1317502, 0.1317502, 0.1317502]",[0.39387434],0.00137627,P2TR
61647112fa39d14b890ad3126ccbc8b02fe6a6b26093fd998ebf439dbacd1c80,"[""1QzEDrPxFAvxD1umzTmFmjE6W99TkN8iCm""]","[""bc1qjqht6xhcnxydxgy7k97swu66092jr880ckuqkf5""]",[0.57686828],[1.80261872],0.0001,P2PKH
cae4c4fd6fe5d9009847c1b82a7102c97e9d0fbd2d7ec9bf214e4adab4d6fff8,"[""bc1q55alxk9vdgzt7rkdaw4rkxmef0ymnlf4ddyfgna""]","[""3GW8kwTa1LEkaiwfqEJfpa9Nj7WCnT9RQ6""]",[4.42907806],[4.42043388],0.00864418,P2WPKH
0d3cdf50f7e6c9d34f83e5c34661c0aa050e3681ff90d9504a9c575a2b73bf6b,"[""3ugASMbeRFrCPVEaazJyfGZgk3cVuHocMd"", ""3s34dvzkS6dsShu3oJN9XZnA5scEu9TFF1""]","[""3evMqnPprRBcSPfh6h3tAtYf4juuQm8NkW"", ""3bZ29yzZouaPPx4PULxeJAgBpb2CuPCHXT"", ""bc1qvaml8vmd20avle5y7y72rmraqymlzegnvz24375""]","[0.93621716, 0.93621716]","[0.62181539, 0.62181539, 0.62181539]",0.00698815,P2SH
d85cc329351a87e38a7d9870952a9f67ac7c6693dadb4e37329e2b9c0c2d7c0f,"[""bc1q2apmz7cgxjnqu35f8evwk9dw2ym2ltvcsr8rwyp""]","[""39vTP8idyC8h48rTALtcnecAyr6rVzbqHj""]",[3.6268509],[3.61029974],0.01655116,P2TR
08fef330d14e1aba9a1b9569887f53ab54d12c1ef4ee4c8678919a83182a50d4,"[""3cq4p7bc4CLqjQ8gYKxD3B4GkANAFa8ndN""]","[""3gifqdueJSaj6JkB8YyXuqFpUokL7x9yrj"", ""3daiPbJWRn7esYsRtRpQjKKFxgU65SkN84"", ""11V1B6etRomhCeXQwc3BVxdnM1E7X6MmYD""]",[1.07377931],"[0.3566288, 0.3566288, 0.3566288]",0.00389291,P2SH
bba7b346d2ae4eb34924eacf10e8fd41425acd14553b39ee378dcd4c5422692b,"[""35zMoh7DzCvoFUrLak3gqFgbkNnWLRysgv""]","[""3RKJTvWmQV1ijQfrqY9cjiNLbNXcHAEEja""]",[0.10110855],[0.21717841],0.0001,P2PKH
