timestamp,txid,src_ip,dst_ip,geo_country
2025-09-12T11:21:50.534433,tx_5234549_231177927,68.36.64.44,250.201.141.35,UK
2025-09-12T11:22:50.534433,tx_232431877_2758467,203.2.140.203,97.158.171.181,NL
2025-09-12T11:23:50.534433,tx_81273879_232437171,46.146.129.86,63.80.170.218,DE
2025-09-12T11:24:50.534433,tx_3878856_3878886,5.69.111.213,117.225.102.102,NL
2025-09-12T11:25:50.534433,tx_231182296_14660781,106.125.50.40,184.147.132.17,UK
2025-09-12T11:26:50.534433,tx_13334987_5530452,124.84.106.76,188.64.56.232,CN
2025-09-12T11:27:50.534433,tx_230519287_194810163,65.196.232.229,197.31.190.59,NL
2025-09-12T11:28:50.534433,tx_230423321_232399276,17.164.14.234,229.43.204.223,DE
2025-09-12T11:29:50.534433,tx_230659456_230658142,84.54.212.131,165.58.60.6,CN
2025-09-12T11:30:50.534433,tx_230347386_43560505,219.78.230.75,183.68.139.8,US
2025-09-12T11:31:50.534433,tx_37233982_230427468,111.157.124.14,255.88.48.102,US
2025-09-12T11:32:50.534433,tx_43358239_230528714,228.189.158.161,211.154.79.95,US
2025-09-12T11:33:50.534433,tx_75605182_75604052,14.101.100.142,169.151.189.10,NL
2025-09-12T11:34:50.534433,tx_230585122_231208959,193.15.197.3,215.25.90.114,RU
2025-09-12T11:35:50.534433,tx_230455950_2881274,61.120.199.213,128.160.168.161,UK
2025-09-12T11:36:50.534433,tx_232658952_232658962,149.167.96.178,137.202.55.185,US
2025-09-12T11:37:50.534433,tx_230530291_2881273,32.50.34.159,41.86.100.189,RU
2025-09-12T11:38:50.534433,tx_75604616_37232637,60.56.108.11,37.14.64.8,NL
2025-09-12T11:39:50.534433,tx_230531551_4619363,179.57.45.179,186.249.5.70,UK
2025-09-12T11:40:50.534433,tx_230516010_230516478,103.11.157.188,229.135.239.238,CN
2025-09-12T11:41:50.534433,tx_232441583_232441589,173.69.176.85,133.129.159.121,US
2025-09-12T11:42:50.534433,tx_5488136_27553759,152.211.153.86,98.185.160.30,NL
2025-09-12T11:43:50.534433,tx_5529367_232467632,162.138.19.38,167.88.117.84,UK
2025-09-12T11:44:50.534433,tx_230658273_230658517,61.245.32.110,67.91.6.238,DE
2025-09-12T11:45:50.534433,tx_231181128_232453404,158.201.122.123,97.240.242.51,UK
2025-09-12T11:46:50.534433,tx_232353601_230447764,109.232.73.8,133.121.76.69,CN
2025-09-12T11:47:50.534433,tx_230423018_232392936,141.199.164.208,248.29.42.74,UK
2025-09-12T11:48:50.534433,tx_234419729_152498092,137.227.213.87,192.140.4.95,US
2025-09-12T11:49:50.534433,tx_230531146_230545782,4.217.46.90,223.20.224.49,UA
2025-09-12T11:50:50.534433,tx_230415003_230414561,254.30.66.216,43.202.251.14,UK
2025-09-12T11:51:50.534433,tx_230453429_230459154,209.176.70.59,214.254.71.93,DE
2025-09-12T11:52:50.534433,tx_230425284_83431059,237.99.26.40,223.76.60.107,US
2025-09-12T11:53:50.534433,tx_230530225_230095969,158.95.176.209,26.16.104.117,NL
2025-09-12T11:54:50.534433,tx_230440353_5234549,200.48.72.232,228.135.61.167,UK
2025-09-12T11:55:50.534433,tx_230440535_230440534,103.57.3.204,168.85.56.218,DE
2025-09-12T11:56:50.534433,tx_232022496_232022773,223.30.173.232,108.92.77.20,UA
2025-09-12T11:57:50.534433,tx_230348238_2881273,55.134.244.44,207.177.109.150,DE
2025-09-12T11:58:50.534433,tx_3409584_43560505,248.244.132.116,56.96.163.246,DE
2025-09-12T11:59:50.534433,tx_89273_3906238,79.54.189.143,130.223.147.46,UK
2025-09-12T12:00:50.534433,tx_230973596_232455956,128.217.255.198,114.26.141.196,DE
2025-09-12T12:01:50.534433,tx_38062994_80044108,88.65.229.101,73.143.169.4,CN
2025-09-12T12:02:50.534433,tx_230423318_230423018,174.63.41.106,120.111.214.235,RU
2025-09-12T12:03:50.534433,tx_146601928_232368272,128.151.106.167,91.216.146.101,UK
2025-09-12T12:04:50.534433,tx_232453639_232453630,225.190.34.123,255.204.40.132,UK
2025-09-12T12:05:50.534433,tx_89273_51860219,60.49.1.98,114.38.241.53,CN
2025-09-12T12:06:50.534433,tx_230521273_230522097,8.143.81.29,6.248.241.250,NL
2025-09-12T12:07:50.534433,tx_230658997_230658142,26.62.239.36,14.90.238.63,US
2025-09-12T12:08:50.534433,tx_1913117_232909272,254.76.109.165,5.42.43.137,DE
2025-09-12T12:09:50.534433,tx_231179660_231177063,200.122.87.82,215.111.188.75,UK
2025-09-12T12:10:50.534433,tx_206222134_192431356,188.58.234.185,48.106.66.182,US
2025-09-12T12:11:50.534433,tx_230967090_230439439,121.164.157.148,105.54.58.61,UA
2025-09-12T12:12:50.534433,tx_230658277_230563355,67.11.31.245,113.180.107.74,US
2025-09-12T12:13:50.534433,tx_230455752_232416085,40.106.191.27,202.161.250.219,UK
2025-09-12T12:14:50.534433,tx_232038004_232037822,125.247.57.3,174.251.37.187,CN
2025-09-12T12:15:50.534433,tx_230471902_230471916,129.182.37.89,31.196.10.91,RU
2025-09-12T12:16:50.534433,tx_232393313_230511916,232.7.33.6,133.185.192.27,UK
2025-09-12T12:17:50.534433,tx_200165930_39617084,159.92.93.12,175.2.120.3,RU
2025-09-12T12:18:50.534433,tx_230432611_230966618,239.67.178.200,218.76.227.8,UA
2025-09-12T12:19:50.534433,tx_89273_230512979,80.83.129.94,100.108.56.242,US
2025-09-12T12:20:50.534433,tx_230530178_232070456,181.108.131.150,75.20.212.208,CN
2025-09-12T12:21:50.534433,tx_232436036_230674241,9.71.180.136,168.177.87.160,DE
2025-09-12T12:22:50.534433,tx_230330969_232918438,11.119.74.124,164.204.85.150,RU
2025-09-12T12:23:50.534433,tx_230335026_232698839,191.231.175.218,178.210.111.104,NL
2025-09-12T12:24:50.534433,tx_230918484_40297647,182.251.225.49,18.126.238.33,DE
2025-09-12T12:25:50.534433,tx_230459131_230559672,50.145.208.15,242.13.150.78,UA
2025-09-12T12:26:50.534433,tx_230447404_3877919,86.133.139.72,134.237.162.167,DE
2025-09-12T12:27:50.534433,tx_54492406_4855592,201.61.195.132,123.184.183.27,RU
2025-09-12T12:28:50.534433,tx_231995264_232468876,28.209.100.147,15.74.104.160,DE
2025-09-12T12:29:50.534433,tx_231994250_232910950,204.208.190.235,110.172.151.163,DE
2025-09-12T12:30:50.534433,tx_3907739_230438749,112.47.97.154,202.186.65.221,CN
2025-09-12T12:31:50.534433,tx_232687445_189305695,158.104.7.147,47.121.101.184,CN
2025-09-12T12:32:50.534433,tx_2819887_232956426,188.134.16.52,77.64.181.34,DE
2025-09-12T12:33:50.534433,tx_230530380_2881274,219.102.9.175,13.205.79.246,NL
2025-09-12T12:34:50.534433,tx_230474094_230473989,5.133.199.180,244.194.200.27,DE
2025-09-12T12:35:50.534433,tx_75604389_75604980,18.253.128.196,8.57.14.122,UK
2025-09-12T12:36:50.534433,tx_232440027_232448376,219.38.209.68,254.75.158.61,CN
2025-09-12T12:37:50.534433,tx_230471946_231429973,158.178.102.88,165.218.17.47,UK
2025-09-12T12:38:50.534433,tx_79642404_71136742,26.184.247.171,146.92.249.44,UK
2025-09-12T12:39:50.534433,tx_232897313_231168875,189.33.78.92,185.96.215.202,UA
2025-09-12T12:40:50.534433,tx_230537133_230537117,21.54.207.196,153.17.27.172,RU
2025-09-12T12:41:50.534433,tx_232040268_230467682,50.217.209.231,220.219.117.63,UK
2025-09-12T12:42:50.534433,tx_2756358_232432897,220.164.36.199,204.130.6.246,DE
2025-09-12T12:43:50.534433,tx_66396856_13805515,115.10.101.17,1.100.65.181,RU
2025-09-12T12:44:50.534433,tx_230470027_2893869,134.98.130.190,24.157.188.131,RU
2025-09-12T12:45:50.534433,tx_232634676_232364856,45.73.38.104,43.94.187.31,CN
2025-09-12T12:46:50.534433,tx_232440939_79642776,233.153.100.48,247.167.156.1,DE
2025-09-12T12:47:50.534433,tx_42953128_230424236,164.221.97.106,210.175.206.37,US
2025-09-12T12:48:50.534433,tx_230449513_230449518,151.70.88.13,42.195.199.176,UA
2025-09-12T12:49:50.534433,tx_230529171_14580549,207.121.210.182,179.164.113.143,UK
2025-09-12T12:50:50.534433,tx_86655785_230577422,59.118.181.119,207.107.108.134,NL
2025-09-12T12:51:50.534433,tx_232457903_11011839,115.190.201.117,66.248.214.205,UK
2025-09-12T12:52:50.534433,tx_230471924_232894488,40.218.233.128,173.56.90.148,NL
2025-09-12T12:53:50.534433,tx_230391412_232029206,28.127.133.201,121.132.4.122,DE
2025-09-12T12:54:50.534433,tx_2893846_2881274,237.74.139.175,46.34.140.5,UA
2025-09-12T12:55:50.534433,tx_230334809_43560505,193.163.105.168,160.54.247.175,RU
2025-09-12T12:56:50.534433,tx_89273_230465219,60.115.94.163,23.112.188.90,CN
2025-09-12T12:57:50.534433,tx_230541525_2880930,232.237.12.124,212.78.23.138,RU
2025-09-12T12:58:50.534433,tx_230452144_2706899,228.51.231.180,205.151.115.92,RU
2025-09-12T12:59:50.534433,tx_230681119_232472581,220.5.42.99,222.101.58.134,UA
2025-09-12T13:00:50.534433,tx_232345632_230463877,12.254.4.156,209.63.215.203,UA
2025-09-12T13:01:50.534433,tx_89273_232916687,37.65.33.212,58.248.108.118,RU
2025-09-12T13:02:50.534433,tx_232431856_230683178,30.130.113.252,35.25.224.68,US
2025-09-12T13:03:50.534433,tx_230349226_233221331,103.243.70.123,226.205.30.141,CN
2025-09-12T13:04:50.534433,tx_81167039_230594121,244.244.255.20,15.53.175.35,UK
2025-09-12T13:05:50.534433,tx_232440137_230639246,36.102.30.197,40.92.253.171,RU
2025-09-12T13:06:50.534433,tx_232399274_232399270,221.164.130.98,251.228.199.120,UK
2025-09-12T13:07:50.534433,tx_230659151_230658142,93.89.220.114,156.248.108.123,UA
2025-09-12T13:08:50.534433,tx_230467618_230467684,75.2.13.100,138.180.55.16,UK
2025-09-12T13:09:50.534433,tx_230531179_2881274,130.124.188.244,7.104.147.52,US
2025-09-12T13:10:50.534433,tx_230437680_19617883,71.240.203.57,145.78.96.60,US
2025-09-12T13:11:50.534433,tx_230411721_35574259,62.36.106.7,151.114.246.105,CN
2025-09-12T13:12:50.534433,tx_232957846_232415197,125.90.1.147,125.234.195.114,NL
2025-09-12T13:13:50.534433,tx_232675389_147419328,128.207.215.192,127.44.240.100,RU
2025-09-12T13:14:50.534433,tx_233599193_233599189,97.136.117.181,79.103.24.217,US
2025-09-12T13:15:50.534433,tx_230591601_230555921,40.155.117.87,180.87.224.120,US
2025-09-12T13:16:50.534433,tx_60519306_230097992,217.30.229.109,127.165.147.79,UK
2025-09-12T13:17:50.534433,tx_89273_232440137,123.237.124.41,83.69.74.168,CN
2025-09-12T13:18:50.534433,tx_21763735_2758467,190.221.45.61,166.248.157.179,US
2025-09-12T13:19:50.534433,tx_231990423_12971085,186.2.197.177,85.163.45.73,US
2025-09-12T13:20:50.534433,tx_230344670_43560505,251.67.48.223,127.140.70.143,UK
2025-09-12T13:21:50.534433,tx_230521269_230521266,174.235.129.143,64.210.164.159,US
2025-09-12T13:22:50.534433,tx_232431922_2758467,124.202.57.26,60.75.50.66,RU
2025-09-12T13:23:50.534433,tx_3272536_230724244,173.123.4.26,249.168.135.97,US
2025-09-12T13:24:50.534433,tx_232047899_232438397,123.231.51.42,180.253.237.122,RU
2025-09-12T13:25:50.534433,tx_230540205_232608734,75.1.143.240,206.127.183.115,NL
2025-09-12T13:26:50.534433,tx_230597986_3878899,118.156.129.230,212.162.147.37,UA
2025-09-12T13:27:50.534433,tx_230351534_43560505,176.169.174.6,125.99.243.31,US
2025-09-12T13:28:50.534433,tx_230586873_230667453,135.235.27.101,28.169.210.244,RU
2025-09-12T13:29:50.534433,tx_75597397_90545645,82.89.53.6,61.102.202.143,RU
2025-09-12T13:30:50.534433,tx_232064964_206139323,246.147.133.176,143.189.162.222,UA
2025-09-12T13:31:50.534433,tx_230437630_230649117,75.155.10.8,61.214.192.136,DE
2025-09-12T13:32:50.534433,tx_14550424_232353291,117.84.37.22,224.31.52.235,NL
2025-09-12T13:33:50.534433,tx_183402062_82950160,15.203.71.75,255.14.188.135,US
2025-09-12T13:34:50.534433,tx_79642776_232447742,163.225.33.242,43.100.216.142,US
2025-09-12T13:35:50.534433,tx_230401350_230401687,245.4.72.121,190.187.92.70,UK
2025-09-12T13:36:50.534433,tx_21018157_230724244,48.245.24.55,206.222.106.199,DE
2025-09-12T13:37:50.534433,tx_230347366_43560505,111.146.85.106,232.121.152.168,US
2025-09-12T13:38:50.534433,tx_230658525_232450626,244.133.252.122,25.236.237.252,US
2025-09-12T13:39:50.534433,tx_2864954_33972940,147.109.138.239,63.72.87.93,DE
2025-09-12T13:40:50.534433,tx_1913117_233227310,36.61.179.146,138.91.232.248,DE
2025-09-12T13:41:50.534433,tx_232673945_232673949,168.119.248.65,187.144.199.55,NL
2025-09-12T13:42:50.534433,tx_232354199_232346251,53.229.20.76,96.21.129.92,UK
2025-09-12T13:43:50.534433,tx_232959350_80044108,152.223.178.22,19.133.147.155,UK
2025-09-12T13:44:50.534433,tx_75604058_232068042,93.79.129.78,180.171.158.127,CN
2025-09-12T13:45:50.534433,tx_232361296_232361286,93.75.20.71,254.227.29.158,UK
2025-09-12T13:46:50.534433,tx_75600754_75597795,86.183.195.236,48.63.220.137,CN
2025-09-12T13:47:50.534433,tx_231996124_230473483,211.56.198.51,69.94.197.217,RU
2025-09-12T13:48:50.534433,tx_230457910_2881274,118.16.60.166,195.45.141.90,NL
2025-09-12T13:49:50.534433,tx_230523211_230523207,193.208.85.203,14.251.139.156,DE
2025-09-12T13:50:50.534433,tx_95906596_230578500,64.208.42.51,33.14.232.242,UK
2025-09-12T13:51:50.534433,tx_232035051_232036661,136.21.188.234,170.3.192.99,RU
2025-09-12T13:52:50.534433,tx_31730193_230569374,172.53.175.31,28.84.52.114,UA
2025-09-12T13:53:50.534433,tx_230335074_230440142,121.147.124.45,24.245.31.141,CN
2025-09-12T13:54:50.534433,tx_232431890_2758467,72.163.243.82,64.129.27.157,CN
2025-09-12T13:55:50.534433,tx_7196549_232418399,131.253.37.81,226.191.167.136,UK
2025-09-12T13:56:50.534433,tx_230400857_230400870,145.34.168.248,70.149.96.90,RU
2025-09-12T13:57:50.534433,tx_232015620_49558738,42.12.119.119,200.159.168.237,US
2025-09-12T13:58:50.534433,tx_233599185_233599198,239.181.146.158,134.220.1.176,UA
2025-09-12T13:59:50.534433,tx_232065266_232073363,72.1.136.251,189.104.120.183,CN
2025-09-12T14:00:50.534433,tx_232009878_232009889,164.188.228.113,210.13.180.146,CN
2025-09-12T14:01:50.534433,tx_232342532_183402062,195.250.17.182,36.45.129.217,RU
2025-09-12T14:02:50.534433,tx_3877856_230437700,166.228.25.140,193.102.157.126,RU
2025-09-12T14:03:50.534433,tx_5662056_230522934,16.84.236.38,66.94.28.129,RU
2025-09-12T14:04:50.534433,tx_230445151_2880930,160.115.31.120,111.27.67.127,UA
2025-09-12T14:05:50.534433,tx_32877982_232899771,132.230.136.188,188.198.78.126,RU
2025-09-12T14:06:50.534433,tx_22013857_232903082,252.236.197.94,123.250.127.31,DE
2025-09-12T14:07:50.534433,tx_222399481_232893753,179.204.116.166,147.246.188.94,CN
2025-09-12T14:08:50.534433,tx_230456357_232922109,190.18.99.228,43.29.48.163,NL
2025-09-12T14:09:50.534433,tx_230645753_76866419,167.87.177.28,107.14.68.12,RU
2025-09-12T14:10:50.534433,tx_230418806_230428367,223.64.97.133,14.136.13.207,DE
2025-09-12T14:11:50.534433,tx_230439622_93518448,236.254.77.151,123.101.184.239,CN
2025-09-12T14:12:50.534433,tx_40623301_2920819,125.7.72.87,100.237.123.74,CN
2025-09-12T14:13:50.534433,tx_230472251_230473461,23.53.215.102,159.62.73.45,UA
2025-09-12T14:14:50.534433,tx_232470505_232470504,54.111.162.33,234.19.83.10,UA
2025-09-12T14:15:50.534433,tx_232957892_3204359,23.246.88.77,61.104.81.161,US
2025-09-12T14:16:50.534433,tx_232054853_105586706,81.65.225.207,121.206.216.232,UA
2025-09-12T14:17:50.534433,tx_233097530_3717740,96.228.173.12,105.44.228.194,DE
2025-09-12T14:18:50.534433,tx_230456360_230456357,227.163.87.60,75.41.204.104,UK
2025-09-12T14:19:50.534433,tx_230444451_16555074,210.10.96.46,209.163.172.41,RU
2025-09-12T14:20:50.534433,tx_232017363_230451735,198.175.41.165,160.155.115.197,DE
2025-09-12T14:21:50.534433,tx_79111639_232403460,14.244.119.39,117.115.231.133,UK
2025-09-12T14:22:50.534433,tx_232904009_233220194,188.220.81.44,74.8.147.82,US
2025-09-12T14:23:50.534433,tx_230528722_230528710,120.172.88.187,5.204.53.227,DE
2025-09-12T14:24:50.534433,tx_232342530_199529191,146.24.61.245,188.45.111.236,CN
2025-09-12T14:25:50.534433,tx_232017777_232054860,216.109.233.155,169.34.108.194,NL
2025-09-12T14:26:50.534433,tx_230530309_2881273,137.94.169.3,55.149.91.65,UA
2025-09-12T14:27:50.534433,tx_75598059_61820358,195.195.6.18,55.200.240.233,CN
2025-09-12T14:28:50.534433,tx_3875116_230520120,184.252.182.245,1.219.114.154,DE
2025-09-12T14:29:50.534433,tx_230531174_230531529,38.13.126.63,206.118.97.24,RU
2025-09-12T14:30:50.534433,tx_232446225_182442258,101.122.5.230,5.95.40.244,DE
2025-09-12T14:31:50.534433,tx_230440527_230456382,152.233.36.97,234.227.78.114,UK
2025-09-12T14:32:50.534433,tx_232404259_2758467,122.218.254.113,60.12.197.46,UA
2025-09-12T14:33:50.534433,tx_230658164_230658142,92.72.193.201,144.152.244.53,DE
2025-09-12T14:34:50.534433,tx_75600755_230425547,12.73.164.24,9.82.210.68,CN
2025-09-12T14:35:50.534433,tx_232000581_230716290,151.64.43.145,152.239.123.38,NL
2025-09-12T14:36:50.534433,tx_73325019_43560505,209.169.112.195,30.168.141.40,UA
2025-09-12T14:37:50.534433,tx_230423321_230681123,84.200.176.80,177.52.109.66,US
2025-09-12T14:38:50.534433,tx_232654975_192392088,1.67.248.192,51.100.108.173,NL
2025-09-12T14:39:50.534433,tx_232037400_232037399,194.222.175.63,241.46.157.94,DE
2025-09-12T14:40:50.534433,tx_230517591_3385562,154.187.52.214,208.184.104.22,US
2025-09-12T14:41:50.534433,tx_230464746_230464556,5.188.26.139,26.210.168.203,DE
2025-09-12T14:42:50.534433,tx_2713814_185535373,223.116.216.4,3.70.41.119,US
2025-09-12T14:43:50.534433,tx_19146132_232354183,16.24.100.245,245.31.93.204,NL
2025-09-12T14:44:50.534433,tx_14942862_195237909,150.125.118.6,152.21.238.221,RU
2025-09-12T14:45:50.534433,tx_230421654_183321578,96.156.115.196,110.170.172.6,UK
2025-09-12T14:46:50.534433,tx_232392936_232392931,42.147.115.129,235.175.75.128,US
2025-09-12T14:47:50.534433,tx_3876606_232460526,38.122.28.58,185.96.45.84,DE
2025-09-12T14:48:50.534433,tx_230458741_230458655,176.23.179.171,93.188.232.217,CN
2025-09-12T14:49:50.534433,tx_230692824_230551388,40.219.193.236,156.212.48.158,UA
2025-09-12T14:50:50.534433,tx_34162816_230539732,245.82.215.81,89.173.224.62,NL
2025-09-12T14:51:50.534433,tx_232431910_2758467,119.71.254.31,193.186.18.155,UA
2025-09-12T14:52:50.534433,tx_76866739_87889632,226.46.203.58,49.13.145.23,UA
2025-09-12T14:53:50.534433,tx_230444448_4996915,130.75.140.123,112.204.205.20,RU
2025-09-12T14:54:50.534433,tx_230464771_20510018,229.67.131.170,193.150.155.122,RU
2025-09-12T14:55:50.534433,tx_230334719_232000584,175.45.156.194,98.100.237.212,DE
2025-09-12T14:56:50.534433,tx_203812102_232431931,184.3.219.250,48.160.180.111,US
2025-09-12T14:57:50.534433,tx_230673815_232383231,26.174.35.108,131.17.147.175,RU
2025-09-12T14:58:50.534433,tx_232034284_198358107,46.172.232.169,174.156.53.79,UA
2025-09-12T14:59:50.534433,tx_198363083_198426420,231.26.80.85,129.29.160.83,UK
2025-09-12T15:00:50.534433,tx_1913117_2923374,153.41.31.247,44.232.97.54,RU
2025-09-12T15:01:50.534433,tx_53204358_230586868,251.28.218.87,49.42.243.116,CN
2025-09-12T15:02:50.534433,tx_232034284_2754445,217.241.145.171,160.54.44.66,CN
2025-09-12T15:03:50.534433,tx_7460711_230470030,147.131.196.128,57.148.223.108,RU
2025-09-12T15:04:50.534433,tx_230390238_230456623,90.151.89.197,91.11.246.127,US
2025-09-12T15:05:50.534433,tx_232903064_113492022,143.180.9.127,128.229.240.247,RU
2025-09-12T15:06:50.534433,tx_232903069_99506340,89.91.244.78,5.150.167.194,CN
2025-09-12T15:07:50.534433,tx_2713749_56588535,156.237.112.3,166.72.81.23,UK
2025-09-12T15:08:50.534433,tx_232012309_230411297,213.26.59.49,187.78.12.59,DE
2025-09-12T15:09:50.534433,tx_230470029_230470027,105.131.39.24,49.43.197.192,CN
2025-09-12T15:10:50.534433,tx_230438482_230438479,50.105.61.58,64.37.117.181,DE
2025-09-12T15:11:50.534433,tx_232412807_80044762,205.52.132.98,204.163.125.103,RU
2025-09-12T15:12:50.534433,tx_89273_5197391,138.18.46.240,8.136.46.119,DE
2025-09-12T15:13:50.534433,tx_106306280_230411659,125.150.255.26,1.199.26.234,US
2025-09-12T15:14:50.534433,tx_76864781_230692824,196.255.153.243,91.253.247.215,NL
2025-09-12T15:15:50.534433,tx_37001822_86977694,35.99.212.27,156.116.181.5,NL
2025-09-12T15:16:50.534433,tx_230540192_230516994,46.181.9.165,149.251.50.60,UK
2025-09-12T15:17:50.534433,tx_54735213_219837311,242.213.194.238,18.26.202.178,RU
2025-09-12T15:18:50.534433,tx_234017978_230530258,117.195.195.49,21.11.36.217,RU
2025-09-12T15:19:50.534433,tx_3416106_74325541,229.212.234.23,132.243.84.118,DE
2025-09-12T15:20:50.534433,tx_232010758_4988292,34.22.246.47,90.37.104.97,DE
2025-09-12T15:21:50.534433,tx_230411274_195237909,51.156.21.211,27.58.254.233,RU
2025-09-12T15:22:50.534433,tx_232670457_232673585,65.45.182.167,61.212.214.35,CN
2025-09-12T15:23:50.534433,tx_230537141_230537117,218.35.181.120,23.46.209.178,UK
2025-09-12T15:24:50.534433,tx_230530176_232067342,237.149.100.31,9.6.143.39,DE
2025-09-12T15:25:50.534433,tx_230345439_29115493,129.226.161.216,45.155.156.11,RU
2025-09-12T15:26:50.534433,tx_14713336_230537117,23.185.239.212,220.132.27.36,CN
2025-09-12T15:27:50.534433,tx_230336239_232019233,96.176.158.154,128.138.103.194,NL
2025-09-12T15:28:50.534433,tx_230530819_230455738,202.105.165.165,58.236.62.184,RU
2025-09-12T15:29:50.534433,tx_232639903_231429973,117.27.180.194,73.232.45.128,US
2025-09-12T15:30:50.534433,tx_232921306_76867053,93.37.146.41,252.126.202.193,RU
2025-09-12T15:31:50.534433,tx_230544483_87823727,231.181.102.231,50.120.234.47,RU
2025-09-12T15:32:50.534433,tx_230452736_45936391,255.53.183.225,51.82.152.33,UK
2025-09-12T15:33:50.534433,tx_232000938_232000936,141.18.111.90,97.148.72.76,NL
2025-09-12T15:34:50.534433,tx_232895310_94251207,30.135.125.164,115.33.8.26,RU
2025-09-12T15:35:50.534433,tx_230331387_231993291,89.253.89.1,169.96.214.104,UA
2025-09-12T15:36:50.534433,tx_230472718_27533958,252.25.97.181,230.29.211.42,US
2025-09-12T15:37:50.534433,tx_230522939_166888820,183.74.238.123,45.21.47.177,NL
2025-09-12T15:38:50.534433,tx_230548582_230548586,174.14.192.185,212.177.110.184,UA
2025-09-12T15:39:50.534433,tx_3908453_2881273,243.212.108.240,21.236.242.97,CN
2025-09-12T15:40:50.534433,tx_232440020_232440017,92.4.183.184,227.217.232.235,NL
2025-09-12T15:41:50.534433,tx_230409254_76865205,21.95.104.103,139.213.25.155,CN
2025-09-12T15:42:50.534433,tx_234469371_232431871,67.223.239.1,66.69.109.247,NL
2025-09-12T15:43:50.534433,tx_76865983_3907701,57.199.133.166,146.171.164.195,UK
2025-09-12T15:44:50.534433,tx_75604333_2912780,234.237.155.245,54.205.22.157,UA
2025-09-12T15:45:50.534433,tx_234442906_13341989,39.19.6.253,135.172.103.86,NL
2025-09-12T15:46:50.534433,tx_230465231_5530776,171.12.12.81,193.159.132.83,RU
2025-09-12T15:47:50.534433,tx_219821008_232039868,161.177.245.142,56.129.40.179,RU
2025-09-12T15:48:50.534433,tx_230437116_230543170,211.95.167.12,53.172.142.74,US
2025-09-12T15:49:50.534433,tx_232419988_230673838,253.239.150.227,19.63.79.113,UA
2025-09-12T15:50:50.534433,tx_230530317_230923479,134.137.140.133,182.55.127.225,NL
2025-09-12T15:51:50.534433,tx_230642649_231827038,119.77.221.235,159.220.90.82,CN
2025-09-12T15:52:50.534433,tx_232897813_232431861,104.42.147.2,79.243.240.39,DE
2025-09-12T15:53:50.534433,tx_232431916_231367273,36.231.143.107,11.172.50.174,UA
2025-09-12T15:54:50.534433,tx_232018604_37001822,252.59.103.115,152.12.167.226,UA
2025-09-12T15:55:50.534433,tx_232431852_2758467,71.255.92.108,251.15.50.23,US
