txid,timestamp,inputs,outputs,input_amount,output_amount,fee
tx_230530291_2881273,2025-09-12T11:37:50.534433,"[""wallet_230530291""]","[""wallet_2881273""]",8.0184,8.0193,0.0032
tx_75604616_37232637,2025-09-12T11:38:50.534433,"[""wallet_75604616""]","[""wallet_37232637""]",10.4976,4.0293,0.0043
tx_230531551_4619363,2025-09-12T11:39:50.534433,"[""wallet_230531551""]","[""wallet_4619363""]",7.9789,10.1953,0.0018
tx_230516010_230516478,2025-09-12T11:40:50.534433,"[""wallet_230516010""]","[""wallet_230516478""]",0.8087,6.6411,0.0026
tx_232441583_232441589,2025-09-12T11:41:50.534433,"[""wallet_232441583""]","[""wallet_232441589""]",8.9308,8.0613,0.0042
tx_5488136_27553759,2025-09-12T11:42:50.534433,"[""wallet_5488136""]","[""wallet_27553759""]",10.1809,6.7294,0.0023
tx_5529367_232467632,2025-09-12T11:43:50.534433,"[""wallet_5529367""]","[""wallet_232467632""]",3.3624,5.6648,0.0006
tx_230658273_230658517,2025-09-12T11:44:50.534433,"[""wallet_230658273""]","[""wallet_230658517""]",6.9905,5.6502,0.0016
tx_231181128_232453404,2025-09-12T11:45:50.534433,"[""wallet_231181128""]","[""wallet_232453404""]",0.5925,8.7688,0.0042
tx_232353601_230447764,2025-09-12T11:46:50.534433,"[""wallet_232353601""]","[""wallet_230447764""]",8.4588,1.9066,0.0037
tx_230423018_232392936,2025-09-12T11:47:50.534433,"[""wallet_230423018""]","[""wallet_232392936""]",2.283,2.2453,0.0029
tx_234419729_152498092,2025-09-12T11:48:50.534433,"[""wallet_234419729""]","[""wallet_152498092""]",7.5758,5.6302,0.0047
tx_230531146_230545782,2025-09-12T11:49:50.534433,"[""wallet_230531146""]","[""wallet_230545782""]",10.2905,1.5743,0.0043
tx_230415003_230414561,2025-09-12T11:50:50.534433,"[""wallet_230415003""]","[""wallet_230414561""]",1.9482,1.7457,0.0003
tx_230453429_230459154,2025-09-12T11:51:50.534433,"[""wallet_230453429""]","[""wallet_230459154""]",3.5205,4.2318,0.002
tx_230425284_83431059,2025-09-12T11:52:50.534433,"[""wallet_230425284""]","[""wallet_83431059""]",4.3915,6.3602,0.0006
tx_230530225_230095969,2025-09-12T11:53:50.534433,"[""wallet_230530225""]","[""wallet_230095969""]",9.6727,7.3077,0.0035
tx_230440353_5234549,2025-09-12T11:54:50.534433,"[""wallet_230440353""]","[""wallet_5234549""]",3.829,0.2168,0.0022
tx_230440535_230440534,2025-09-12T11:55:50.534433,"[""wallet_230440535""]","[""wallet_230440534""]",3.9911,5.9254,0.002
tx_232022496_232022773,2025-09-12T11:56:50.534433,"[""wallet_232022496""]","[""wallet_232022773""]",4.1586,1.9693,0.0033
tx_230348238_2881273,2025-09-12T11:57:50.534433,"[""wallet_230348238""]","[""wallet_2881273""]",1.9929,8.3125,0.0007
tx_3409584_43560505,2025-09-12T11:58:50.534433,"[""wallet_3409584""]","[""wallet_43560505""]",1.6326,0.8221,0.0016
tx_89273_3906238,2025-09-12T11:59:50.534433,"[""wallet_89273""]","[""wallet_3906238""]",5.5389,1.4964,0.0026
tx_230973596_232455956,2025-09-12T12:00:50.534433,"[""wallet_230973596""]","[""wallet_232455956""]",0.9281,3.2186,0.0023
tx_38062994_80044108,2025-09-12T12:01:50.534433,"[""wallet_38062994""]","[""wallet_80044108""]",9.4281,4.6738,0.0021
tx_230423318_230423018,2025-09-12T12:02:50.534433,"[""wallet_230423318""]","[""wallet_230423018""]",1.642,3.0095,0.0041
tx_146601928_232368272,2025-09-12T12:03:50.534433,"[""wallet_146601928""]","[""wallet_232368272""]",2.3837,4.882,0.0021
tx_232453639_232453630,2025-09-12T12:04:50.534433,"[""wallet_232453639""]","[""wallet_232453630""]",5.3796,4.0922,0.0021
tx_89273_51860219,2025-09-12T12:05:50.534433,"[""wallet_89273""]","[""wallet_51860219""]",1.1057,8.328,0.001
tx_230521273_230522097,2025-09-12T12:06:50.534433,"[""wallet_230521273""]","[""wallet_230522097""]",3.5132,0.4341,0.0013
tx_230658997_230658142,2025-09-12T12:07:50.534433,"[""wallet_230658997""]","[""wallet_230658142""]",0.6379,9.9505,0.0007
tx_1913117_232909272,2025-09-12T12:08:50.534433,"[""wallet_1913117""]","[""wallet_232909272""]",2.0832,7.9152,0.0017
tx_231179660_231177063,2025-09-12T12:09:50.534433,"[""wallet_231179660""]","[""wallet_231177063""]",7.496,7.5855,0.0039
tx_206222134_192431356,2025-09-12T12:10:50.534433,"[""wallet_206222134""]","[""wallet_192431356""]",6.557,7.9981,0.0009
tx_230967090_230439439,2025-09-12T12:11:50.534433,"[""wallet_230967090""]","[""wallet_230439439""]",1.9622,6.8372,0.001
tx_230658277_230563355,2025-09-12T12:12:50.534433,"[""wallet_230658277""]","[""wallet_230563355""]",4.9107,5.2787,0.0022
tx_230455752_232416085,2025-09-12T12:13:50.534433,"[""wallet_230455752""]","[""wallet_232416085""]",9.2504,8.6815,0.001
tx_232038004_232037822,2025-09-12T12:14:50.534433,"[""wallet_232038004""]","[""wallet_232037822""]",4.914,8.7004,0.0005
tx_230471902_230471916,2025-09-12T12:15:50.534433,"[""wallet_230471902""]","[""wallet_230471916""]",2.7777,1.7683,0.0035
tx_232393313_230511916,2025-09-12T12:16:50.534433,"[""wallet_232393313""]","[""wallet_230511916""]",4.5824,5.0376,0.0041
tx_200165930_39617084,2025-09-12T12:17:50.534433,"[""wallet_200165930""]","[""wallet_39617084""]",1.6064,7.8481,0.0034
tx_230432611_230966618,2025-09-12T12:18:50.534433,"[""wallet_230432611""]","[""wallet_230966618""]",0.9295,8.2148,0.0042
tx_89273_230512979,2025-09-12T12:19:50.534433,"[""wallet_89273""]","[""wallet_230512979""]",7.3584,0.6232,0.0039
tx_230530178_232070456,2025-09-12T12:20:50.534433,"[""wallet_230530178""]","[""wallet_232070456""]",5.1729,9.6921,0.0009
tx_232436036_230674241,2025-09-12T12:21:50.534433,"[""wallet_232436036""]","[""wallet_230674241""]",9.6011,8.4838,0.0047
tx_230330969_232918438,2025-09-12T12:22:50.534433,"[""wallet_230330969""]","[""wallet_232918438""]",1.1696,7.3894,0.0025
tx_230335026_232698839,2025-09-12T12:23:50.534433,"[""wallet_230335026""]","[""wallet_232698839""]",1.6775,6.2678,0.0045
tx_230918484_40297647,2025-09-12T12:24:50.534433,"[""wallet_230918484""]","[""wallet_40297647""]",2.7023,3.1771,0.0017
tx_230459131_230559672,2025-09-12T12:25:50.534433,"[""wallet_230459131""]","[""wallet_230559672""]",9.747,0.2317,0.0007
tx_230447404_3877919,2025-09-12T12:26:50.534433,"[""wallet_230447404""]","[""wallet_3877919""]",9.7639,6.4193,0.0011
tx_54492406_4855592,2025-09-12T12:27:50.534433,"[""wallet_54492406""]","[""wallet_4855592""]",10.3811,4.0976,0.0004
tx_231995264_232468876,2025-09-12T12:28:50.534433,"[""wallet_231995264""]","[""wallet_232468876""]",5.265,9.1073,0.0021
tx_231994250_232910950,2025-09-12T12:29:50.534433,"[""wallet_231994250""]","[""wallet_232910950""]",9.1433,1.5355,0.0027
tx_3907739_230438749,2025-09-12T12:30:50.534433,"[""wallet_3907739""]","[""wallet_230438749""]",9.2435,1.6537,0.0019
tx_232687445_189305695,2025-09-12T12:31:50.534433,"[""wallet_232687445""]","[""wallet_189305695""]",6.1947,6.8441,0.0006
tx_2819887_232956426,2025-09-12T12:32:50.534433,"[""wallet_2819887""]","[""wallet_232956426""]",9.0234,5.9896,0.0048
tx_230530380_2881274,2025-09-12T12:33:50.534433,"[""wallet_230530380""]","[""wallet_2881274""]",3.0338,1.4395,0.0011
tx_230474094_230473989,2025-09-12T12:34:50.534433,"[""wallet_230474094""]","[""wallet_230473989""]",9.3792,8.5653,0.0008
tx_75604389_75604980,2025-09-12T12:35:50.534433,"[""wallet_75604389""]","[""wallet_75604980""]",5.1236,6.2478,0.0011
tx_232440027_232448376,2025-09-12T12:36:50.534433,"[""wallet_232440027""]","[""wallet_232448376""]",6.3832,6.7003,0.0004
tx_230471946_231429973,2025-09-12T12:37:50.534433,"[""wallet_230471946""]","[""wallet_231429973""]",6.4532,6.8991,0.0015
tx_79642404_71136742,2025-09-12T12:38:50.534433,"[""wallet_79642404""]","[""wallet_71136742""]",4.3071,1.1452,0.0011
tx_232897313_231168875,2025-09-12T12:39:50.534433,"[""wallet_232897313""]","[""wallet_231168875""]",9.2854,8.1026,0.0026
tx_230537133_230537117,2025-09-12T12:40:50.534433,"[""wallet_230537133""]","[""wallet_230537117""]",1.1314,1.0287,0.0005
tx_232040268_230467682,2025-09-12T12:41:50.534433,"[""wallet_232040268""]","[""wallet_230467682""]",10.25,5.6041,0.0009
tx_2756358_232432897,2025-09-12T12:42:50.534433,"[""wallet_2756358""]","[""wallet_232432897""]",3.4664,10.1582,0.0037
tx_66396856_13805515,2025-09-12T12:43:50.534433,"[""wallet_66396856""]","[""wallet_13805515""]",1.493,0.9022,0.0019
tx_230470027_2893869,2025-09-12T12:44:50.534433,"[""wallet_230470027""]","[""wallet_2893869""]",1.254,6.3398,0.0003
tx_232634676_232364856,2025-09-12T12:45:50.534433,"[""wallet_232634676""]","[""wallet_232364856""]",2.5878,6.5066,0.0002
tx_232440939_79642776,2025-09-12T12:46:50.534433,"[""wallet_232440939""]","[""wallet_79642776""]",10.0445,4.3447,0.0038
tx_42953128_230424236,2025-09-12T12:47:50.534433,"[""wallet_42953128""]","[""wallet_230424236""]",1.5977,4.9895,0.0038
tx_230449513_230449518,2025-09-12T12:48:50.534433,"[""wallet_230449513""]","[""wallet_230449518""]",7.345,0.4975,0.0002
tx_230529171_14580549,2025-09-12T12:49:50.534433,"[""wallet_230529171""]","[""wallet_14580549""]",6.0132,10.0707,0.0003
tx_86655785_230577422,2025-09-12T12:50:50.534433,"[""wallet_86655785""]","[""wallet_230577422""]",8.9199,1.281,0.0006
tx_232457903_11011839,2025-09-12T12:51:50.534433,"[""wallet_232457903""]","[""wallet_11011839""]",4.3233,7.3175,0.0017
tx_230471924_232894488,2025-09-12T12:52:50.534433,"[""wallet_230471924""]","[""wallet_232894488""]",5.773,5.9283,0.0041
tx_230391412_232029206,2025-09-12T12:53:50.534433,"[""wallet_230391412""]","[""wallet_232029206""]",9.9118,0.828,0.0033
tx_2893846_2881274,2025-09-12T12:54:50.534433,"[""wallet_2893846""]","[""wallet_2881274""]",3.5098,3.0081,0.0023
tx_230334809_43560505,2025-09-12T12:55:50.534433,"[""wallet_230334809""]","[""wallet_43560505""]",5.4649,7.7111,0.0042
tx_89273_230465219,2025-09-12T12:56:50.534433,"[""wallet_89273""]","[""wallet_230465219""]",3.2837,8.5104,0.0013
tx_230541525_2880930,2025-09-12T12:57:50.534433,"[""wallet_230541525""]","[""wallet_2880930""]",2.4188,3.8208,0.0048
tx_230452144_2706899,2025-09-12T12:58:50.534433,"[""wallet_230452144""]","[""wallet_2706899""]",1.5251,8.8875,0.0047
tx_230681119_232472581,2025-09-12T12:59:50.534433,"[""wallet_230681119""]","[""wallet_232472581""]",2.2213,1.8468,0.0007
tx_232345632_230463877,2025-09-12T13:00:50.534433,"[""wallet_232345632""]","[""wallet_230463877""]",3.6886,1.3076,0.0047
tx_89273_232916687,2025-09-12T13:01:50.534433,"[""wallet_89273""]","[""wallet_232916687""]",6.9491,2.6486,0.0004
tx_232431856_230683178,2025-09-12T13:02:50.534433,"[""wallet_232431856""]","[""wallet_230683178""]",7.9585,6.0388,0.0034
tx_230349226_233221331,2025-09-12T13:03:50.534433,"[""wallet_230349226""]","[""wallet_233221331""]",1.8384,2.6558,0.0032
tx_81167039_230594121,2025-09-12T13:04:50.534433,"[""wallet_81167039""]","[""wallet_230594121""]",4.9892,4.7902,0.0029
tx_232440137_230639246,2025-09-12T13:05:50.534433,"[""wallet_232440137""]","[""wallet_230639246""]",5.7853,9.6949,0.0033
tx_232399274_232399270,2025-09-12T13:06:50.534433,"[""wallet_232399274""]","[""wallet_232399270""]",10.3661,3.2464,0.0024
tx_230659151_230658142,2025-09-12T13:07:50.534433,"[""wallet_230659151""]","[""wallet_230658142""]",9.3689,2.6641,0.0022
tx_230467618_230467684,2025-09-12T13:08:50.534433,"[""wallet_230467618""]","[""wallet_230467684""]",3.9742,7.4905,0.0028
tx_230531179_2881274,2025-09-12T13:09:50.534433,"[""wallet_230531179""]","[""wallet_2881274""]",5.3826,5.1023,0.0025
tx_230437680_19617883,2025-09-12T13:10:50.534433,"[""wallet_230437680""]","[""wallet_19617883""]",5.1487,1.3549,0.0043
tx_230411721_35574259,2025-09-12T13:11:50.534433,"[""wallet_230411721""]","[""wallet_35574259""]",4.0708,10.0052,0.0039
tx_232957846_232415197,2025-09-12T13:12:50.534433,"[""wallet_232957846""]","[""wallet_232415197""]",3.4126,0.7526,0.0039
tx_232675389_147419328,2025-09-12T13:13:50.534433,"[""wallet_232675389""]","[""wallet_147419328""]",5.519,3.0195,0.0032
tx_233599193_233599189,2025-09-12T13:14:50.534433,"[""wallet_233599193""]","[""wallet_233599189""]",6.1889,3.6602,0.0006
tx_230591601_230555921,2025-09-12T13:15:50.534433,"[""wallet_230591601""]","[""wallet_230555921""]",9.2789,6.5547,0.0037
tx_60519306_230097992,2025-09-12T13:16:50.534433,"[""wallet_60519306""]","[""wallet_230097992""]",8.5431,3.3996,0.001
tx_89273_232440137,2025-09-12T13:17:50.534433,"[""wallet_89273""]","[""wallet_232440137""]",6.1524,0.4934,0.0043
tx_21763735_2758467,2025-09-12T13:18:50.534433,"[""wallet_21763735""]","[""wallet_2758467""]",2.1902,8.7653,0.0005
tx_231990423_12971085,2025-09-12T13:19:50.534433,"[""wallet_231990423""]","[""wallet_12971085""]",0.4733,4.2077,0.0032
tx_230344670_43560505,2025-09-12T13:20:50.534433,"[""wallet_230344670""]","[""wallet_43560505""]",4.5781,9.5986,0.0045
tx_230521269_230521266,2025-09-12T13:21:50.534433,"[""wallet_230521269""]","[""wallet_230521266""]",3.0596,8.7585,0.0018
tx_232431922_2758467,2025-09-12T13:22:50.534433,"[""wallet_232431922""]","[""wallet_2758467""]",0.9482,1.6115,0.0036
tx_3272536_230724244,2025-09-12T13:23:50.534433,"[""wallet_3272536""]","[""wallet_230724244""]",7.1111,10.2444,0.0038
tx_232047899_232438397,2025-09-12T13:24:50.534433,"[""wallet_232047899""]","[""wallet_232438397""]",5.0277,8.347,0.0049
tx_230540205_232608734,2025-09-12T13:25:50.534433,"[""wallet_230540205""]","[""wallet_232608734""]",6.0907,1.3792,0.0003
tx_230597986_3878899,2025-09-12T13:26:50.534433,"[""wallet_230597986""]","[""wallet_3878899""]",3.4624,0.4205,0.0026
tx_230351534_43560505,2025-09-12T13:27:50.534433,"[""wallet_230351534""]","[""wallet_43560505""]",10.1861,3.124,0.003
tx_230586873_230667453,2025-09-12T13:28:50.534433,"[""wallet_230586873""]","[""wallet_230667453""]",6.3581,10.0059,0.0034
tx_75597397_90545645,2025-09-12T13:29:50.534433,"[""wallet_75597397""]","[""wallet_90545645""]",1.8504,0.4345,0.0043
tx_232064964_206139323,2025-09-12T13:30:50.534433,"[""wallet_232064964""]","[""wallet_206139323""]",7.0771,4.4579,0.0013
tx_230437630_230649117,2025-09-12T13:31:50.534433,"[""wallet_230437630""]","[""wallet_230649117""]",2.6399,9.2356,0.0006
tx_14550424_232353291,2025-09-12T13:32:50.534433,"[""wallet_14550424""]","[""wallet_232353291""]",9.0668,8.7486,0.0025
tx_183402062_82950160,2025-09-12T13:33:50.534433,"[""wallet_183402062""]","[""wallet_82950160""]",4.9353,7.7831,0.0035
tx_79642776_232447742,2025-09-12T13:34:50.534433,"[""wallet_79642776""]","[""wallet_232447742""]",9.818,8.9015,0.0048
tx_230401350_230401687,2025-09-12T13:35:50.534433,"[""wallet_230401350""]","[""wallet_230401687""]",3.4795,6.413,0.0006
tx_21018157_230724244,2025-09-12T13:36:50.534433,"[""wallet_21018157""]","[""wallet_230724244""]",8.8826,5.2117,0.0047
tx_230347366_43560505,2025-09-12T13:37:50.534433,"[""wallet_230347366""]","[""wallet_43560505""]",3.3755,6.0994,0.0018
tx_230658525_232450626,2025-09-12T13:38:50.534433,"[""wallet_230658525""]","[""wallet_232450626""]",1.4713,9.7246,0.0033
tx_2864954_33972940,2025-09-12T13:39:50.534433,"[""wallet_2864954""]","[""wallet_33972940""]",3.4532,0.1756,0.0045
tx_1913117_233227310,2025-09-12T13:40:50.534433,"[""wallet_1913117""]","[""wallet_233227310""]",8.1748,6.6839,0.0007
tx_232673945_232673949,2025-09-12T13:41:50.534433,"[""wallet_232673945""]","[""wallet_232673949""]",9.2421,1.379,0.0008
tx_232354199_232346251,2025-09-12T13:42:50.534433,"[""wallet_232354199""]","[""wallet_232346251""]",9.7288,5.0201,0.0005
tx_232959350_80044108,2025-09-12T13:43:50.534433,"[""wallet_232959350""]","[""wallet_80044108""]",8.9725,4.0828,0.001
tx_75604058_232068042,2025-09-12T13:44:50.534433,"[""wallet_75604058""]","[""wallet_232068042""]",0.6856,0.9857,0.0012
tx_232361296_232361286,2025-09-12T13:45:50.534433,"[""wallet_232361296""]","[""wallet_232361286""]",3.1199,3.466,0.0039
tx_75600754_75597795,2025-09-12T13:46:50.534433,"[""wallet_75600754""]","[""wallet_75597795""]",3.9519,8.1774,0.0022
tx_231996124_230473483,2025-09-12T13:47:50.534433,"[""wallet_231996124""]","[""wallet_230473483""]",3.8992,0.5967,0.0036
tx_230457910_2881274,2025-09-12T13:48:50.534433,"[""wallet_230457910""]","[""wallet_2881274""]",3.5336,10.158,0.003
tx_230523211_230523207,2025-09-12T13:49:50.534433,"[""wallet_230523211""]","[""wallet_230523207""]",1.27,7.1331,0.0044
tx_95906596_230578500,2025-09-12T13:50:50.534433,"[""wallet_95906596""]","[""wallet_230578500""]",7.6643,6.832,0.0014
tx_232035051_232036661,2025-09-12T13:51:50.534433,"[""wallet_232035051""]","[""wallet_232036661""]",3.5133,9.9911,0.0026
tx_31730193_230569374,2025-09-12T13:52:50.534433,"[""wallet_31730193""]","[""wallet_230569374""]",0.4646,6.2194,0.0043
tx_230335074_230440142,2025-09-12T13:53:50.534433,"[""wallet_230335074""]","[""wallet_230440142""]",8.3728,1.3634,0.0049
tx_232431890_2758467,2025-09-12T13:54:50.534433,"[""wallet_232431890""]","[""wallet_2758467""]",6.5757,10.0671,0.0024
tx_7196549_232418399,2025-09-12T13:55:50.534433,"[""wallet_7196549""]","[""wallet_232418399""]",0.3474,9.7683,0.0022
tx_230400857_230400870,2025-09-12T13:56:50.534433,"[""wallet_230400857""]","[""wallet_230400870""]",6.2211,8.6138,0.0045
tx_232015620_49558738,2025-09-12T13:57:50.534433,"[""wallet_232015620""]","[""wallet_49558738""]",0.6607,8.297,0.0017
tx_233599185_233599198,2025-09-12T13:58:50.534433,"[""wallet_233599185""]","[""wallet_233599198""]",5.9101,2.4207,0.0022
tx_232065266_232073363,2025-09-12T13:59:50.534433,"[""wallet_232065266""]","[""wallet_232073363""]",6.4318,8.7897,0.0031
tx_232009878_232009889,2025-09-12T14:00:50.534433,"[""wallet_232009878""]","[""wallet_232009889""]",3.9766,8.792,0.0008
tx_232342532_183402062,2025-09-12T14:01:50.534433,"[""wallet_232342532""]","[""wallet_183402062""]",7.1368,6.1452,0.0043
tx_3877856_230437700,2025-09-12T14:02:50.534433,"[""wallet_3877856""]","[""wallet_230437700""]",9.813,9.99,0.0017
tx_5662056_230522934,2025-09-12T14:03:50.534433,"[""wallet_5662056""]","[""wallet_230522934""]",6.3027,9.73,0.002
tx_230445151_2880930,2025-09-12T14:04:50.534433,"[""wallet_230445151""]","[""wallet_2880930""]",6.4523,8.6087,0.0019
tx_32877982_232899771,2025-09-12T14:05:50.534433,"[""wallet_32877982""]","[""wallet_232899771""]",7.5142,2.185,0.0032
tx_22013857_232903082,2025-09-12T14:06:50.534433,"[""wallet_22013857""]","[""wallet_232903082""]",9.7069,6.288,0.0032
tx_222399481_232893753,2025-09-12T14:07:50.534433,"[""wallet_222399481""]","[""wallet_232893753""]",8.4917,9.257,0.0037
tx_230456357_232922109,2025-09-12T14:08:50.534433,"[""wallet_230456357""]","[""wallet_232922109""]",2.4991,3.4869,0.0045
tx_230645753_76866419,2025-09-12T14:09:50.534433,"[""wallet_230645753""]","[""wallet_76866419""]",8.3757,8.0177,0.0011
tx_230418806_230428367,2025-09-12T14:10:50.534433,"[""wallet_230418806""]","[""wallet_230428367""]",6.3976,2.0413,0.0039
tx_230439622_93518448,2025-09-12T14:11:50.534433,"[""wallet_230439622""]","[""wallet_93518448""]",5.736,6.8416,0.0016
tx_40623301_2920819,2025-09-12T14:12:50.534433,"[""wallet_40623301""]","[""wallet_2920819""]",6.5012,10.2953,0.0034
tx_230472251_230473461,2025-09-12T14:13:50.534433,"[""wallet_230472251""]","[""wallet_230473461""]",4.6485,8.1256,0.0037
tx_232470505_232470504,2025-09-12T14:14:50.534433,"[""wallet_232470505""]","[""wallet_232470504""]",3.8255,1.4544,0.0014
tx_232957892_3204359,2025-09-12T14:15:50.534433,"[""wallet_232957892""]","[""wallet_3204359""]",6.2612,1.061,0.0004
tx_232054853_105586706,2025-09-12T14:16:50.534433,"[""wallet_232054853""]","[""wallet_105586706""]",2.9744,8.7078,0.0001
tx_233097530_3717740,2025-09-12T14:17:50.534433,"[""wallet_233097530""]","[""wallet_3717740""]",1.9682,5.6552,0.0003
tx_230456360_230456357,2025-09-12T14:18:50.534433,"[""wallet_230456360""]","[""wallet_230456357""]",8.6211,10.0341,0.004
tx_230444451_16555074,2025-09-12T14:19:50.534433,"[""wallet_230444451""]","[""wallet_16555074""]",5.1241,1.8421,0.0031
tx_232017363_230451735,2025-09-12T14:20:50.534433,"[""wallet_232017363""]","[""wallet_230451735""]",0.4412,0.7067,0.0016
