txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type
f72d20dd356926a7191e6677f0bd103cd1b78cd4f9afe8387c230d11f91ef1af,"[""1t5K0kA29RTX2pIX4FAnxdaGtqFoYIfJJE""]","[""1gmlRSTqrodJ0jwAsPLmbksf0tyEOfHl2w"", ""1tQhT66y97cL57nJ6iUo8k2fRN2Bqpepga""]",[2.24162049],"[1.11691605, 1.11691605]",0.00778839,P2WSH
5cdaf6923bf6b83e1327e9ad7013e322fbecfbb1aa552968a40a016b76688d2e,"[""1kMsVlAePMbPvmSnH0cJ0n1dNkj6keUF4g"", ""1qCEtk4JbeyHiLbwSjKht15zcKtPKopPYO""]","[""1fhdboEVaq7PWcnXxG7qEULuQvtowyL82X"", ""1kMsVlAePMbPvmSnH0cJ0n1dNkj6keUF4g""]","[1.86643484, 1.86643484]","[1.85988215, 1.85988215]",0.01310539,P2PKH
4bdae0bd8a9741078e451bec78775bb51d97ffdd68b6bcf2c7792841aed70fed,"[""1lichKFOwKHjDLs8GOioYIdv8NmelDQCQ0"", ""1VK0sjpNrhFKETWXMky2UxGlSGD7DKNXOm"", ""1Jusug24E5NQCnDVYYxyZaawIiBN4w8mrn""]","[""1MQakFVrMCqt7gRZVH3iEC3b8X79WU0YWV"", ""1VK0sjpNrhFKETWXMky2UxGlSGD7DKNXOm""]","[0.53588814, 0.53588814, 0.53588814]","[0.80020247, 0.80020247]",0.00725949,P2TR
78770f162d1c50a406349f1eaf4cb9a1415e4783d14ef7b87edaab13a1b129d3,"[""1K7n6bp7HrMyjf16Aadz28z8y72coyjJXw"", ""1dKWWsc7ymsVSJvsLkl0xAZf8pWP5T6ItP""]","[""1OElbZt5VUX9gkY7Dappd8ZVsW3liOavnK""]","[2.31647058, 2.31647058]",[4.63087493],0.00206623,P2WPKH
2620b8d5eae7fd36ece78f279c7b08a1e62da2cadee9a36d670e3a23918f35e7,"[""1EblLusMVOGECsEFHYHbV92hB0BckOW2kA""]","[""1zlcXU2mJUZP2YwdMJ2pFtnluESSCyU5DK"", ""1EblLusMVOGECsEFHYHbV92hB0BckOW2kA""]",[1.65125727],"[0.82429056, 0.82429056]",0.00267615,P2TR
96853f6a88c3a70ca8a893c92183894394b5c486b06bdae3d0f900319e753511,"[""1X87eCr0uIamIsMCKEVm3Vpazov026aO0T"", ""1gGoEd9Sf53GRx8ffiYeJA7oqtXRTtqemW""]","[""1Wyi1hoW6gFWXMQdyNXZDLfqwLS5yOr7dV""]","[1.16947252, 1.16947252]",[2.33089246],0.00805258,P2WSH
2ba7198fb7aca0388a539bd331d9a77d266888133e4081e6145d91806880cc83,"[""1gXKkmSABKqtgxmv3YB37pzL26GyhYAlpn"", ""1xitaQSnJtoernnIS6YPJOQAYmdEcrhCLK"", ""1hJyV4ZjtfbaVjMH8JbT8NWlOnm0TYxqdf""]","[""12SYRHfF5OFKV8j3iGFequio4Nlt6n9bsj"", ""10iBczTV5V6mLThmuoHFq6cjn7zrlSaekU"", ""1hJyV4ZjtfbaVjMH8JbT8NWlOnm0TYxqdf""]","[1.28774479, 1.28774479, 1.28774479]","[1.28148608, 1.28148608, 1.28148608]",0.01877613,P2PKH
6f6cf0faffac57b62476fbde9dcab07ce45f67048423c9f3d133344b946d6f39,"[""1APVbqszBscgTGykHhiE3vCM445YJcucLS"", ""1YgFSuNsylUSUe47XJ9MHXRdJn5rQlFcyl""]","[""13MMBvYOW2fHyS2GHnFtvNb3HqZsAFT0qF"", ""16BVSGeuyVAyc5jJ88X28z2R2StvZ3LjzN"", ""1APVbqszBscgTGykHhiE3vCM445YJcucLS""]","[1.13289489, 1.13289489]","[0.753464, 0.753464, 0.753464]",0.0053978,P2WPKH
654e37ec53fe8841528f7d0b6126ed7b834209323061ba2b810e36ac3af2f16c,"[""1tj1KVHOmY53SJljtgH6chve15Omk9o5Vb""]","[""1lvf066vjFToJgJanlr3H8gnFRwKB7lvxn"", ""126h6b10mdBmVKh8FJGkm6Tw9znfFDF6bx""]",[2.55390538],"[1.27472483, 1.27472483]",0.00445572,P2PKH
499b473aebb3af0b8b738f7bcf39c6a7464cf8c195d9c3b82aec1f5a8dcfec83,"[""14zEGxdXeRzWGJk2mdcdwmwCy5QpEB7DIv""]","[""1ExPenmjLThmEJNaUYW3TwcM7Fq70HeXBG""]",[1.10634655],[1.10394807],0.00239848,P2WSH
ec63e2333255b12301a23546206a92a3c9aba5e6e9b92ccb425ee3876c86b060,"[""1egabdaraBT7gwO8TxrOschiC584hN7X25"", ""1kgSC2RqbIdQnyxcACka3O72SSmqP7lQY9""]","[""1FX4jvD2tuVg8G9mcy1htc02u3gVUbVNnm""]","[1.71036704, 1.71036704]",[3.41288757],0.00784651,P2PKH
ef07c2ea6bf29ae6034de82141ddfba06d0ee76135bbe6ad042f83bd1d33dc60,"[""1BqCoqdUPfvH8KI0YzH1D2De3SF3XQMhUk""]","[""1aW7zE9j2oL74SzVNSXxaDZFnuOTFG39LL"", ""1A6XCSHHUcuzMXD254LotKBsOco4pqGc7B"", ""1BqCoqdUPfvH8KI0YzH1D2De3SF3XQMhUk""]",[3.27137425],"[1.08666731, 1.08666731, 1.08666731]",0.01137231,P2PKH
5bed126de4232efce9f838dbed1fb604a596c291939b8d157fe9c92074c2330a,"[""1CkiRsinUTaTJQ9j6A05f8ld8OK8MzcoEQ"", ""17OxQXOW1OrOwhfEPFbJJqUXlENAJgd4Xl""]","[""158H4KPfA1lquCu2r6AZDUd7ne7cbp0MoD"", ""1h6CpwL7SWktJ5J4x6mKZpRsQXXJcHPeOa"", ""17OxQXOW1OrOwhfEPFbJJqUXlENAJgd4Xl""]","[0.29523715, 0.29523715]","[0.19668428, 0.19668428, 0.19668428]",0.00042146,P2SH
827dbc9bc8ca54a4a21a6522679c249b169c4a69a64d0851ce876b34e7cedf07,"[""1NVurgNLv5a5A1hjlVC7DOtiteber8f40Y"", ""19Qq31MAzuBkY5t1EBHbB7V7lFLApWqzxi""]","[""1BuwI5pbh17mJOkWwPET3xrNikYuNJ0eko"", ""1Rx0rliJogqoAxj7jXkE90GSWsIJyQdYDN"", ""1pXN9a4HgK8DEImeJ2w535qiSX0NAjgkmp""]","[0.34716722, 0.34716722]","[0.23036613, 0.23036613, 0.23036613]",0.00323606,P2TR
7c450911cae2624b2007286531b9b42733efe478d1cb167dde6b082678802f2d,"[""1RuX0Wzv6SIEq44fPtFhYXgexjXW1aaY1M"", ""1miH8RRelt9kNKLFrAZTGO8pUedvTMYeVS""]","[""1OuaOnxydWPoZDwdTXctJX6OwASeJ4vAb5""]","[1.24335226, 1.24335226]",[2.48484577],0.00185874,P2PKH
234863bfb4d418521ab40cb1769cdd34ae0b61d470dc165f526043300bf5a248,"[""14uzmW2wFqk467s1XDeUnPPy0IfyqhwUqx"", ""1gxwsRbZya1W84UZ3WoXnlpUVQigMcWcwi"", ""1QnBow8w3Ndr86ZfnN8du9WmZIKYoWWKr9""]","[""1oijKvbvYqrNXradi8CsHVEsBBt6Am3A9p"", ""1QnBow8w3Ndr86ZfnN8du9WmZIKYoWWKr9""]","[1.31658793, 1.31658793, 1.31658793]","[1.97159138, 1.97159138]",0.00658104,P2TR
7ac4ea904ce13437d3f3fd715b72fe62e6a20a5e68dab4f8c024902b7fe99327,"[""1519XgOMzEU5gBKcrAnCxmDh74zYRTaxnr""]","[""1oijKvbvYqrNXradi8CsHVEsBBt6Am3A9p"", ""1ubptnmKxqAlCe2JwJxtdwCawgGCPAoetr"", ""1Hkxv78JaYb3F1ROCzvHGVhkAkKHx0QBrM""]",[3.59925693],"[1.19881181, 1.19881181, 1.19881181]",0.0028215,P2TR
d49b956081d1570a2f16b1f4ad69b9e043085d1574427f6c61602012d6ddb1f6,"[""1Me7vukhDkG1BUDWLdogzAIFWDZimKVNxD""]","[""1GWIGcHHR9kjQN1o5SH7Amd8yyGADtSseR"", ""1PmTKeUiDj888yjzKpvo6iyTKPmiruNGGV""]",[1.84108634],"[0.91730791, 0.91730791]",0.00647051,P2TR
b033c3c2bce5dac3b2ea54a072a665508d7b84db5fde87ec1abfe3e11353db15,"[""1OIC1iWO5e0D7LlRFOqRKKKZebToPEQuoV"", ""1rgKwrxXCYjrhyJcOOB4vi2CajF1n3GFkj""]","[""171imARDL6KFQraidyYG42CJTr2CRSsMYk"", ""1rgKwrxXCYjrhyJcOOB4vi2CajF1n3GFkj""]","[1.26844843, 1.26844843]","[1.26369499, 1.26369499]",0.00950687,P2PKH
b2cf7967fd3cef2be4576bbafb6dfabcc2b5b62e133f60b19f41487b9a47a64d,"[""1iMKpPGNdzSgVaI5z52Dm7tO4fJHS64k2k"", ""1LlpIn8srmRtv5XqhPx8Y7XsrSvBpDmH5R"", ""159yE6752aJg8r9HE60DlgkCplTXJUk13Z""]","[""1hU6BJavoUKS6P0osPYJixTgGlWCjAzfAi"", ""16BVSGeuyVAyc5jJ88X28z2R2StvZ3LjzN""]","[0.68801567, 0.68801567, 0.68801567]","[1.0273638, 1.0273638]",0.00931942,P2WPKH
1e45de779310305dc4a19392bc2a0a7089712bfb9e1be80e07941cd9db2d98a8,"[""1ONfFcDAU1Nmt1KZWcmVbZzlwY67KBebQB"", ""1JiDrBixcfTLUxpq4ZOKkoJg89OEyY6J8G""]","[""1HcogFhemJZQeArbLw83x6sbwsjKgntSUW"", ""1S6xKOjVO779J9NTHh2XLOGtmJ4uX8ot8Q""]","[0.04838468, 0.04838468]","[0.04832655, 0.04832655]",0.00011625,P2PKH
94b0411527f79b65b71423960085cd60ba27d91928b415cd89910830e8dd7416,"[""1Cv272J5fWNk56UPfmr1FdZ4J9fQELhyNT""]","[""1XVcT5kWEh3SKumPuWugT1xnDE3i5CyiSN"", ""16LclE6MWvaohGfwVHnVOrmXQ8DkPcNrAu"", ""1Cv272J5fWNk56UPfmr1FdZ4J9fQELhyNT""]",[2.81809087],"[0.93723082, 0.93723082, 0.93723082]",0.00639841,P2WSH
6ebf2de382fb4491fe904fb188177044fa23a32d101bb809f85619a239575e53,"[""14cXsxjGJXke1Mo4iCppaX3QjBvKNAp0mx"", ""15FYrsK9EjHvIHCtlRJoWcURYxPY8EcFK1""]","[""1FMrWELWZ8wzjH4QDoafgJE6WeS4NC8qdY"", ""15FYrsK9EjHvIHCtlRJoWcURYxPY8EcFK1""]","[2.01135017, 2.01135017]","[2.00478821, 2.00478821]",0.01312393,P2SH
96dc34df0478025b5488f0032608a995701b72c24d78c412bdc36c2b5d74491e,"[""1rtBhjqaMFmvtiRrpeMvBiDPgdAlKKZRMt"", ""1YSPH8UCiY5DCQSCon1M4yRPW2CbDvCkVL""]","[""17uXggnUIQnxCQQj9Ds5fZTvvWGvgSCecS"", ""1XZe0XPispjAxBLKH51zc8RYK4gpPkLINO"", ""1rtBhjqaMFmvtiRrpeMvBiDPgdAlKKZRMt""]","[0.23417755, 0.23417755]","[0.15555335, 0.15555335, 0.15555335]",0.00169506,P2WSH
820ce6e1aa4ce6cd91d83ddc96e8c8dcd5b8673fd9945e2419bf683611ef8fd4,"[""1BZvV7yVbq9Ew6AQOfMXSfjSNTtgatwqil""]","[""1NPROqCQpL70aVN4yK3GlAZps7Oxtz2TfN"", ""1jlaFSE568xENKzc5xJmBp4SFEQRO5TpcY""]",[4.83921563],"[2.40751738, 2.40751738]",0.02418087,P2TR
163ebd62c9b66fad22493c16b0d5433108e1a2c9648ddd11573aa15e3b69b3c2,"[""1RIjgxJ0n2PvDHYglg7yAydvLnThCH6jnJ""]","[""1JOj1lSAtVBMhimMpC1Ha2oKDzeLpHMIZd"", ""1jOc0PZs5dzlPLQKWkCJ5fswxeAIsiRrGG"", ""1RIjgxJ0n2PvDHYglg7yAydvLnThCH6jnJ""]",[1.50110957],"[0.4995235, 0.4995235, 0.4995235]",0.00253907,P2PKH
4e1c692007501c961f0ef0bec2636dcb15d6c3a49bb8fc3a129996d1c672a22a,"[""1zl262n65OM48mRkyAqfw6hSA5CPhSl1Wr""]","[""1850kEnydx9qWCA79ISjs8JHUdKF0j7elK"", ""1Pni6JDWYlgAACTP9gyv1plBArp5B1Id9Z"", ""1zl262n65OM48mRkyAqfw6hSA5CPhSl1Wr""]",[3.24547697],"[1.0793381, 1.0793381, 1.0793381]",0.00746268,P2SH
29a0f26a7ab0804febd0310c9d429f2cd5d40112d6657d20a1beb4a182e30de3,"[""1dGY2QDMBWgNO4TtNhH7FpHxMJ9GW2VLs9"", ""1m59rHVTE6T8B3ymPNQkklZHQY3vaHXeW7""]","[""1xAmnZTllXb8oBpKOfD28ynxALeId5DvLP"", ""1ZpSmx98uHZq3uosc5RNge2BFFeA9rpPwq""]","[1.49893859, 1.49893859]","[1.49332676, 1.49332676]",0.01122365,P2PKH
38030a872ec35e932baa8d91bfbb71e6e56379645ee77d971b872363a56bf56b,"[""1FFciuDCLFuMk9TsuZHRsYwP8KXSQbD7WW"", ""17nvdE2ODH0A2TVwyJmIeFVr9Qh8yXv6Um"", ""1JSKkMM0jQb6gbtjQzW52TdimuPGtk4vvV""]","[""1rP1jylP6pEqdaCd3dCrz2irAaWGKvNBQr""]","[0.35042644, 0.35042644, 0.35042644]",[1.04981645],0.00146287,P2TR
281f35ba6f6cc87aeb7e9701c19fb5b76a5f4a4acbf6625c879671671487e2b8,"[""1SwHll1TPDtX1F7G4bogoRGZrSiLRPvrN9""]","[""1P5NEXunJ5ev4USOW7BoqsgvKl6JhtxTtK"", ""1SwHll1TPDtX1F7G4bogoRGZrSiLRPvrN9""]",[4.65795519],"[2.32790153, 2.32790153]",0.00215213,P2PKH
ee9e2601d27c973453842b63b853a9058580f7ffc274db95c3d4ec03702240ce,"[""1cyI3bHqZwgnIHI2XusYIMTq09Iz1a5Bwa""]","[""1XVcT5kWEh3SKumPuWugT1xnDE3i5CyiSN""]",[4.73444138],[4.71832401],0.01611737,P2SH
e78b29b81347cd1b89e8a2ae6dc13620bbb84a72c2f062e9135b65ebab854dc1,"[""1jOc0PZs5dzlPLQKWkCJ5fswxeAIsiRrGG"", ""1JOj1lSAtVBMhimMpC1Ha2oKDzeLpHMIZd""]","[""18a7uQIJalgsVpXKMP7JwxM3u1wVHEAIQg""]","[0.0035177, 0.0035177]",[0.00701151],2.389e-05,P2TR
4cde62f08b8990c41bdd5920d8b04b33ff4445b9b8df0af227145864f6835674,"[""1Q0N7HE96MT5jotYfLQqmvoi7968lwdGnq""]","[""1v62AFRVdHM479uM37wVpxJjwed7JJNyA4"", ""1Q0N7HE96MT5jotYfLQqmvoi7968lwdGnq""]",[0.85948045],"[0.42894691, 0.42894691]",0.00158662,P2PKH
99b2fea7458226ebce5d3342547432d874996b7f454fd8ccc796d5eea3d12e2f,"[""1GjvFUWNcbrhXfdC6VJhxGhVYfNN8fObrP""]","[""3MixkewKB8zaHTthIBs8oBmBGvBsUQvOwhhNH""]",[0.48229515],[0.48223884],5.631e-05,P2SH
aaa69632aadc69d67cd057e4cfb58ae4b75bd5b1126ea8e63b5005c0e39fa05f,"[""1YbIHYEGKSWhU73lLlIXhhmjI0c8FwHA6a"", ""17OxQXOW1OrOwhfEPFbJJqUXlENAJgd4Xl""]","[""1qOk13LSwCaUedQQ0qJjxW0NdDMgNiUHCK"", ""1TDU81JmleEsirq3OnzgZdlxAQnDjyRk5j""]","[1.30708492, 1.30708492]","[1.30440131, 1.30440131]",0.00536722,P2WPKH
c1ba226245bc77c4fd1dcc59cc6771eaed493dc3b87eec4b9a38384e12026fc5,"[""1N48AcDHk4eXDDaZAtdlBsuO5TDXFgJgAD"", ""1s1ETBxkYKetnyKJ3NA8vLJWQgHIDJGo5R""]","[""1ypPiyQTGOPtsb2UiS0Ag7pCcy6Nj6xs2l""]","[0.13032293, 0.13032293]",[0.26058884],5.701e-05,P2SH
aeb6edb0962b86d86835036a92e8387476548cc6fea7d292b9b8330957ccca5a,"[""1WJ4RLYpI3t2xjtGC36TeylVSwWDnawMIW"", ""1CmLrKubduDiZxbAulMVNuUcFSSE5igkSf"", ""17Et2mYl5Lsd2GFpxR0smsbNAwW9BxjBt6""]","[""1ypPiyQTGOPtsb2UiS0Ag7pCcy6Nj6xs2l""]","[1.12767696, 1.12767696, 1.12767696]",[3.38032184],0.00270903,P2WPKH
d8571a078687e6d1b766ceb6a43fa3d8d1165aa94b45e5f8de78c5c6c8ce6958,"[""1EmLtST18iwItCqpgrxMp1juJtVEFEtb6F"", ""1FFciuDCLFuMk9TsuZHRsYwP8KXSQbD7WW"", ""1JSKkMM0jQb6gbtjQzW52TdimuPGtk4vvV""]","[""1LQKYuNdniKUYUOCsMBm2sXQ46S49KLF00"", ""1EmLtST18iwItCqpgrxMp1juJtVEFEtb6F""]","[0.89525071, 0.89525071, 0.89525071]","[1.33683411, 1.33683411]",0.01208391,P2WSH
c49a96c88a7cc838df1bd1e38c2424c4dce4959029258bc53c7ba75a7af86bbe,"[""11ds7iqxjvzeGetsb8uS15L0wfqu3lnXor""]","[""1zCBvDr7GS5oNfsV0NeofJfr5Ya6P5iEQP"", ""11ds7iqxjvzeGetsb8uS15L0wfqu3lnXor""]",[2.54726455],"[1.27315243, 1.27315243]",0.00095969,P2WSH
fa0d98e904fa8b6ce10400eb6db016e96d873cfe462108202d02277df676f711,"[""1ViAOJ5c4xcmlicXktJDvMYJCnMHhrV5u3""]","[""1gm1FAjfDMcWFhDiLZ3WOGwcGoXWxKTVRg"", ""1iLNtD3hOwMSDU0mni6nffz2golOu8PGJ2""]",[4.71642337],"[2.35011483, 2.35011483]",0.0161937,P2SH
26dbb9ffcc9bdec132196c4adb5cc2e5e1ffd5578564ae37d0301033d89b7a0e,"[""118myHlgJB3fgIbQEle7roOedGk1zjgHDe"", ""1p3TC4lJy6o1qMs4RSnE9I9egVuBpFCeRU""]","[""1TWxYA4hkrbRau0M6FYlyiWxxsBg5a1roW""]","[0.26140779, 0.26140779]",[0.52042882],0.00238677,P2WPKH
b8a9ecd57148af730aa676cdbcc9cad63bec18b8748054242599b3fa50b35a67,"[""1hJyV4ZjtfbaVjMH8JbT8NWlOnm0TYxqdf"", ""1xitaQSnJtoernnIS6YPJOQAYmdEcrhCLK"", ""1gXKkmSABKqtgxmv3YB37pzL26GyhYAlpn""]","[""1OBHQ3v48ivNU0J8XZyZ29HGJpI6TQWEuZ"", ""1x6GYnvzUgNCZ3laXFgie6ozZHfYbbhlWe"", ""19LaGphLHGVnw3bifQhqmfROCYB65pm0S7""]","[0.67750168, 0.67750168, 0.67750168]","[0.67662639, 0.67662639, 0.67662639]",0.00262588,P2WSH
66d13a3e821a5f5685272894f7f11fb62aea9e6e89705d16eebe3940e1cd2e80,"[""1egabdaraBT7gwO8TxrOschiC584hN7X25""]","[""1SER69nCHPuJ26iHQtaLSwh8MGTTpLVllO"", ""1kgSC2RqbIdQnyxcACka3O72SSmqP7lQY9""]",[1.89907485],"[0.94767972, 0.94767972]",0.00371541,P2PKH
f27cfae8b0676583a5d5083fcc28c82352d55e61088b23a80b392231eaa64d31,"[""1ExtEpU21D6USsKZpaGv27mMh6gYTlxda9KBx""]","[""1E6gNBSrk80PyiDL7pmg8joYv1DAbta4GS""]",[0.02133951],[0.02124673],9.278e-05,P2WPKH
5214e614aee45dd67a46f4a7537f21733d5bec17839fc78c16e0c88a8991a5ef,"[""1mP6wdnCIMDOShVnvZ7sGRckiSSgLl5yCW"", ""1Sgz5ZKVBO7iEGd50DF5kJThyL2Fx84Vq7""]","[""1SER69nCHPuJ26iHQtaLSwh8MGTTpLVllO"", ""18CizRUsR1S6NmMsvP8O7FRthvDJPzU0r0""]","[0.16027648, 0.16027648]","[0.1596963, 0.1596963]",0.00116035,P2WPKH
e4c897cca4920bf5f358de8c816791b28c8d4c7ad4cb2b3a2f4472db86c246af,"[""162qi3s9MawTrpaO16KSQ6pMLmBumN1yBT"", ""1yLmaJKa5FFSq0sqhnHsN6ri2d89nhON8u"", ""1jhzS3V0IvwNhBDG7Xkq7r7d8lYEHFeBFI""]","[""1rKdsAOapvr1PVjfq9mKfnDvYNA7gqstIQ"", ""162qi3s9MawTrpaO16KSQ6pMLmBumN1yBT""]","[0.75650839, 0.75650839, 0.75650839]","[1.13190907, 1.13190907]",0.00570702,P2WSH
